head_name	relation	tail_name
Asparaginase Escherichia coli	CARRIED_BY	Thyroxine-binding globulin
Testosterone cypionate	CARRIED_BY	Albumin
Testosterone cypionate	CARRIED_BY	Sex hormone-binding globulin
Testosterone enanthate	CARRIED_BY	Albumin
Testosterone enanthate	CARRIED_BY	Sex hormone-binding globulin
Testosterone undecanoate	CARRIED_BY	Albumin
Testosterone undecanoate	CARRIED_BY	Sex hormone-binding globulin
Ferric cation	CARRIED_BY	Calreticulin
Ferric cation	CARRIED_BY	Integrin beta-3
Ferric cation	CARRIED_BY	Serotransferrin
Stanolone acetate	CARRIED_BY	Sex hormone-binding globulin
Estradiol acetate	CARRIED_BY	Albumin
Estradiol acetate	CARRIED_BY	Fatty acid-binding protein, intestinal
Estradiol acetate	CARRIED_BY	Sex hormone-binding globulin
Estradiol benzoate	CARRIED_BY	Albumin
Estradiol benzoate	CARRIED_BY	Fatty acid-binding protein, intestinal
Estradiol benzoate	CARRIED_BY	Sex hormone-binding globulin
Estradiol cypionate	CARRIED_BY	Albumin
Estradiol cypionate	CARRIED_BY	Fatty acid-binding protein, intestinal
Estradiol cypionate	CARRIED_BY	Sex hormone-binding globulin
Estradiol dienanthate	CARRIED_BY	Albumin
Estradiol dienanthate	CARRIED_BY	Fatty acid-binding protein, intestinal
Estradiol dienanthate	CARRIED_BY	Sex hormone-binding globulin
Estradiol valerate	CARRIED_BY	Albumin
Estradiol valerate	CARRIED_BY	Fatty acid-binding protein, intestinal
Estradiol valerate	CARRIED_BY	Sex hormone-binding globulin
Medium-chain triglycerides	CARRIED_BY	Albumin
Ruxolitinib	CARRIED_BY	Albumin
Vemurafenib	CARRIED_BY	Alpha-1-acid glycoprotein 1
Vemurafenib	CARRIED_BY	Albumin
Mirabegron	CARRIED_BY	Alpha-1-acid glycoprotein 1
Mirabegron	CARRIED_BY	Albumin
Tofacitinib	CARRIED_BY	Albumin
Enzalutamide	CARRIED_BY	Albumin
Bedaquiline	CARRIED_BY	Alpha-1-acid glycoprotein 1
Bedaquiline	CARRIED_BY	Albumin
Fluticasone furoate	CARRIED_BY	Alpha-1-acid glycoprotein 1
Fluticasone furoate	CARRIED_BY	Albumin
Fluticasone furoate	CARRIED_BY	Corticosteroid-binding globulin
Canagliflozin	CARRIED_BY	Alpha-1-acid glycoprotein 1
Dabrafenib	CARRIED_BY	Albumin
Stearic acid	CARRIED_BY	Albumin
Stearic acid	CARRIED_BY	Fatty acid-binding protein, heart
Pegaspargase	CARRIED_BY	Thyroxine-binding globulin
