head_name	relation	tail_name
Bivalirudin	CAUSES_SIDE_EFFECT	Abdominal pain
Bivalirudin	CAUSES_SIDE_EFFECT	Injection site haemorrhage
Bivalirudin	CAUSES_SIDE_EFFECT	Haemorrhage intracranial
Bivalirudin	CAUSES_SIDE_EFFECT	Pulmonary haemorrhage
Bivalirudin	CAUSES_SIDE_EFFECT	Retroperitoneal haemorrhage
Bivalirudin	CAUSES_SIDE_EFFECT	Thrombocytopenia
Bivalirudin	CAUSES_SIDE_EFFECT	Thrombosis
Bivalirudin	CAUSES_SIDE_EFFECT	Anaphylactic shock
Bivalirudin	CAUSES_SIDE_EFFECT	Anaemia
Bivalirudin	CAUSES_SIDE_EFFECT	Angina pectoris
Bivalirudin	CAUSES_SIDE_EFFECT	Anxiety
Bivalirudin	CAUSES_SIDE_EFFECT	Arteriovenous fistula
Bivalirudin	CAUSES_SIDE_EFFECT	Atelectasis
Bivalirudin	CAUSES_SIDE_EFFECT	Immune system disorder
Bivalirudin	CAUSES_SIDE_EFFECT	Dizziness
Bivalirudin	CAUSES_SIDE_EFFECT	Dyspepsia
Bivalirudin	CAUSES_SIDE_EFFECT	Dyspnoea
Bivalirudin	CAUSES_SIDE_EFFECT	Ecchymosis
Bivalirudin	CAUSES_SIDE_EFFECT	Pain
Bivalirudin	CAUSES_SIDE_EFFECT	Atrial fibrillation
Bivalirudin	CAUSES_SIDE_EFFECT	Back pain
Bivalirudin	CAUSES_SIDE_EFFECT	Epistaxis
Bivalirudin	CAUSES_SIDE_EFFECT	Pelvic pain
Bivalirudin	CAUSES_SIDE_EFFECT	Coagulopathy
Bivalirudin	CAUSES_SIDE_EFFECT	Rash
Bivalirudin	CAUSES_SIDE_EFFECT	Eye disorder
Bivalirudin	CAUSES_SIDE_EFFECT	Eye haemorrhage
Bivalirudin	CAUSES_SIDE_EFFECT	Body temperature increased
Bivalirudin	CAUSES_SIDE_EFFECT	Petechiae
Bivalirudin	CAUSES_SIDE_EFFECT	Pleural effusion
Bivalirudin	CAUSES_SIDE_EFFECT	Loss of consciousness
Bivalirudin	CAUSES_SIDE_EFFECT	Urethral disorder
Bivalirudin	CAUSES_SIDE_EFFECT	Mediastinal disorder
Bivalirudin	CAUSES_SIDE_EFFECT	Melaena
Bivalirudin	CAUSES_SIDE_EFFECT	Pneumothorax
Bivalirudin	CAUSES_SIDE_EFFECT	Injection site reaction
Bivalirudin	CAUSES_SIDE_EFFECT	Cardiac tamponade
Bivalirudin	CAUSES_SIDE_EFFECT	Chest pain
Bivalirudin	CAUSES_SIDE_EFFECT	Pulmonary oedema
Bivalirudin	CAUSES_SIDE_EFFECT	Urinary tract disorder
Bivalirudin	CAUSES_SIDE_EFFECT	Urticaria
Bivalirudin	CAUSES_SIDE_EFFECT	Gastrointestinal disorder
Bivalirudin	CAUSES_SIDE_EFFECT	Gastrointestinal haemorrhage
Bivalirudin	CAUSES_SIDE_EFFECT	Gingival bleeding
Bivalirudin	CAUSES_SIDE_EFFECT	Myocardial infarction
Bivalirudin	CAUSES_SIDE_EFFECT	Injection site pain
Bivalirudin	CAUSES_SIDE_EFFECT	Headache
Bivalirudin	CAUSES_SIDE_EFFECT	Cardiac disorder
Bivalirudin	CAUSES_SIDE_EFFECT	Angiopathy
Bivalirudin	CAUSES_SIDE_EFFECT	Ventricular fibrillation
Bivalirudin	CAUSES_SIDE_EFFECT	Ventricular tachycardia
Bivalirudin	CAUSES_SIDE_EFFECT	Vomiting
Bivalirudin	CAUSES_SIDE_EFFECT	Nausea
Bivalirudin	CAUSES_SIDE_EFFECT	Nervous system disorder
Bivalirudin	CAUSES_SIDE_EFFECT	Nervousness
Bivalirudin	CAUSES_SIDE_EFFECT	Urinary retention
Bivalirudin	CAUSES_SIDE_EFFECT	Infection
Bivalirudin	CAUSES_SIDE_EFFECT	Compartment syndrome
Bivalirudin	CAUSES_SIDE_EFFECT	Confusional state
Bivalirudin	CAUSES_SIDE_EFFECT	Connective tissue disorder
Bivalirudin	CAUSES_SIDE_EFFECT	Contusion
Bivalirudin	CAUSES_SIDE_EFFECT	Coronary artery thrombosis
Bivalirudin	CAUSES_SIDE_EFFECT	Oliguria
Bivalirudin	CAUSES_SIDE_EFFECT	Haematemesis
Bivalirudin	CAUSES_SIDE_EFFECT	Haematoma
Bivalirudin	CAUSES_SIDE_EFFECT	Haematuria
Bivalirudin	CAUSES_SIDE_EFFECT	Pericardial haemorrhage
Bivalirudin	CAUSES_SIDE_EFFECT	Peritoneal haemorrhage
Bivalirudin	CAUSES_SIDE_EFFECT	Haemoptysis
Bivalirudin	CAUSES_SIDE_EFFECT	Haemorrhage
Bivalirudin	CAUSES_SIDE_EFFECT	Dermatitis
Bivalirudin	CAUSES_SIDE_EFFECT	Renal failure
Bivalirudin	CAUSES_SIDE_EFFECT	Reperfusion injury
Bivalirudin	CAUSES_SIDE_EFFECT	Shock
Bivalirudin	CAUSES_SIDE_EFFECT	Skin disorder
Bivalirudin	CAUSES_SIDE_EFFECT	Syncope
Bivalirudin	CAUSES_SIDE_EFFECT	Haemoglobin decreased
Bivalirudin	CAUSES_SIDE_EFFECT	Vascular anomaly
Bivalirudin	CAUSES_SIDE_EFFECT	Sepsis
Bivalirudin	CAUSES_SIDE_EFFECT	Tension
Bivalirudin	CAUSES_SIDE_EFFECT	Retroperitoneal haematoma
Bivalirudin	CAUSES_SIDE_EFFECT	Oesophageal haemorrhage
Bivalirudin	CAUSES_SIDE_EFFECT	Groin pain
Bivalirudin	CAUSES_SIDE_EFFECT	Increased tendency to bruise
Bivalirudin	CAUSES_SIDE_EFFECT	Anal haemorrhage
Bivalirudin	CAUSES_SIDE_EFFECT	Bradycardia
Bivalirudin	CAUSES_SIDE_EFFECT	Hypersensitivity
Bivalirudin	CAUSES_SIDE_EFFECT	Hypertension
Bivalirudin	CAUSES_SIDE_EFFECT	Hypotension
Bivalirudin	CAUSES_SIDE_EFFECT	Ear haemorrhage
Bivalirudin	CAUSES_SIDE_EFFECT	Haemoglobin
Bivalirudin	CAUSES_SIDE_EFFECT	Pharyngeal haemorrhage
Bivalirudin	CAUSES_SIDE_EFFECT	Electrocardiogram ST segment elevation
Bivalirudin	CAUSES_SIDE_EFFECT	Surgery
Bivalirudin	CAUSES_SIDE_EFFECT	International normalised ratio increased
Bivalirudin	CAUSES_SIDE_EFFECT	Drug interaction
Bivalirudin	CAUSES_SIDE_EFFECT	Gastrointestinal pain
Bivalirudin	CAUSES_SIDE_EFFECT	Post procedural haemorrhage
Bivalirudin	CAUSES_SIDE_EFFECT	VIIth nerve paralysis
Bivalirudin	CAUSES_SIDE_EFFECT	Puncture site reaction
Bivalirudin	CAUSES_SIDE_EFFECT	Injection site discomfort
Bivalirudin	CAUSES_SIDE_EFFECT	Thrombosis in device
Bivalirudin	CAUSES_SIDE_EFFECT	Cerebral ischaemia
Bivalirudin	CAUSES_SIDE_EFFECT	Insomnia
Bivalirudin	CAUSES_SIDE_EFFECT	Acute coronary syndrome
Bivalirudin	CAUSES_SIDE_EFFECT	Feeling abnormal
Bivalirudin	CAUSES_SIDE_EFFECT	Vascular pseudoaneurysm
Bivalirudin	CAUSES_SIDE_EFFECT	Vessel puncture site haematoma
Boceprevir	CAUSES_SIDE_EFFECT	Abdominal distension
Boceprevir	CAUSES_SIDE_EFFECT	Abdominal pain
Boceprevir	CAUSES_SIDE_EFFECT	Impaired healing
Boceprevir	CAUSES_SIDE_EFFECT	Thrombocytopenia
Boceprevir	CAUSES_SIDE_EFFECT	Thyroid neoplasm
Boceprevir	CAUSES_SIDE_EFFECT	Onychomycosis
Boceprevir	CAUSES_SIDE_EFFECT	Tinnitus
Boceprevir	CAUSES_SIDE_EFFECT	Drug eruption
Boceprevir	CAUSES_SIDE_EFFECT	Aggression
Boceprevir	CAUSES_SIDE_EFFECT	Agranulocytosis
Boceprevir	CAUSES_SIDE_EFFECT	Alopecia
Boceprevir	CAUSES_SIDE_EFFECT	Amenorrhoea
Boceprevir	CAUSES_SIDE_EFFECT	Amnesia
Boceprevir	CAUSES_SIDE_EFFECT	Anaemia
Boceprevir	CAUSES_SIDE_EFFECT	Anger
Boceprevir	CAUSES_SIDE_EFFECT	Angioedema
Boceprevir	CAUSES_SIDE_EFFECT	Anxiety
Boceprevir	CAUSES_SIDE_EFFECT	Appetite disorder
Boceprevir	CAUSES_SIDE_EFFECT	Arrhythmia
Boceprevir	CAUSES_SIDE_EFFECT	Arthralgia
Boceprevir	CAUSES_SIDE_EFFECT	Arthritis
Boceprevir	CAUSES_SIDE_EFFECT	Asthenia
Boceprevir	CAUSES_SIDE_EFFECT	Fungal skin infection
Boceprevir	CAUSES_SIDE_EFFECT	Diabetes mellitus
Boceprevir	CAUSES_SIDE_EFFECT	Diarrhoea
Boceprevir	CAUSES_SIDE_EFFECT	Immune system disorder
Boceprevir	CAUSES_SIDE_EFFECT	Dizziness
Boceprevir	CAUSES_SIDE_EFFECT	Dysgeusia
Boceprevir	CAUSES_SIDE_EFFECT	Dyspepsia
Boceprevir	CAUSES_SIDE_EFFECT	Dyspnoea
Boceprevir	CAUSES_SIDE_EFFECT	Influenza
Boceprevir	CAUSES_SIDE_EFFECT	Irritability
Boceprevir	CAUSES_SIDE_EFFECT	Eye pruritus
Boceprevir	CAUSES_SIDE_EFFECT	Dysuria
Boceprevir	CAUSES_SIDE_EFFECT	Eczema
Boceprevir	CAUSES_SIDE_EFFECT	Endocrine disorder
Boceprevir	CAUSES_SIDE_EFFECT	Endophthalmitis
Boceprevir	CAUSES_SIDE_EFFECT	Otitis media
Boceprevir	CAUSES_SIDE_EFFECT	Pain
Boceprevir	CAUSES_SIDE_EFFECT	Pain in extremity
Boceprevir	CAUSES_SIDE_EFFECT	Pallor
Boceprevir	CAUSES_SIDE_EFFECT	Palpitations
Boceprevir	CAUSES_SIDE_EFFECT	Pancreatic insufficiency
Boceprevir	CAUSES_SIDE_EFFECT	Pancreatitis
Boceprevir	CAUSES_SIDE_EFFECT	Pancytopenia
Boceprevir	CAUSES_SIDE_EFFECT	Papilloedema
Boceprevir	CAUSES_SIDE_EFFECT	Atrial fibrillation
Boceprevir	CAUSES_SIDE_EFFECT	Back pain
Boceprevir	CAUSES_SIDE_EFFECT	Mental disorder
Boceprevir	CAUSES_SIDE_EFFECT	Lethargy
Boceprevir	CAUSES_SIDE_EFFECT	Leukopenia
Boceprevir	CAUSES_SIDE_EFFECT	Eosinophilia
Boceprevir	CAUSES_SIDE_EFFECT	Epiglottitis
Boceprevir	CAUSES_SIDE_EFFECT	Epistaxis
Boceprevir	CAUSES_SIDE_EFFECT	Erythema multiforme
Boceprevir	CAUSES_SIDE_EFFECT	Paraesthesia
Boceprevir	CAUSES_SIDE_EFFECT	Bipolar disorder
Boceprevir	CAUSES_SIDE_EFFECT	Breast disorder
Boceprevir	CAUSES_SIDE_EFFECT	Bronchitis
Boceprevir	CAUSES_SIDE_EFFECT	Tooth disorder
Boceprevir	CAUSES_SIDE_EFFECT	Lymphopenia
Boceprevir	CAUSES_SIDE_EFFECT	Rash
Boceprevir	CAUSES_SIDE_EFFECT	Eye disorder
Boceprevir	CAUSES_SIDE_EFFECT	Fatigue
Boceprevir	CAUSES_SIDE_EFFECT	Body temperature increased
Boceprevir	CAUSES_SIDE_EFFECT	Pericardial effusion
Boceprevir	CAUSES_SIDE_EFFECT	Pericarditis
Boceprevir	CAUSES_SIDE_EFFECT	Neuropathy peripheral
Boceprevir	CAUSES_SIDE_EFFECT	Pharyngitis
Boceprevir	CAUSES_SIDE_EFFECT	Pneumonia
Boceprevir	CAUSES_SIDE_EFFECT	Candida infection
Boceprevir	CAUSES_SIDE_EFFECT	Loss of consciousness
