head_name	relation	tail_name
ALPROSTADIL	CONTRAINDICATES	urethral stricture
ALPROSTADIL	CONTRAINDICATES	thrombocytosis disease
ALPROSTADIL	CONTRAINDICATES	urethritis
ALPROSTADIL	CONTRAINDICATES	lymphoid leukemia
ALPROSTADIL	CONTRAINDICATES	balanitis
ALPROSTADIL	CONTRAINDICATES	priapism
ALPROSTADIL	CONTRAINDICATES	plasma cell myeloma
BROMOCRIPTINE	CONTRAINDICATES	severe pre-eclampsia
BROMOCRIPTINE	CONTRAINDICATES	mild pre-eclampsia
PRIMAQUINE	CONTRAINDICATES	hemolytic anemia
PRAZOSIN	CONTRAINDICATES	end stage renal failure
PRAZOSIN	CONTRAINDICATES	narcolepsy
NICOTINE	CONTRAINDICATES	hypophosphatemia
NICOTINE	CONTRAINDICATES	hyperglycemia
NICOTINE	CONTRAINDICATES	pharyngitis
NICOTINE	CONTRAINDICATES	diabetes mellitus
NICOTINE	CONTRAINDICATES	myocardial infarction
NICOTINE	CONTRAINDICATES	esophagitis
NICOTINE	CONTRAINDICATES	gout
NICOTINE	CONTRAINDICATES	hyperthyroidism
NICOTINE	CONTRAINDICATES	Prinzmetal angina
NICOTINE	CONTRAINDICATES	thromboangiitis obliterans
NICOTINE	CONTRAINDICATES	pheochromocytoma
OFLOXACIN	CONTRAINDICATES	pancytopenia
OFLOXACIN	CONTRAINDICATES	agranulocytosis
OFLOXACIN	CONTRAINDICATES	drug-induced hepatitis
OFLOXACIN	CONTRAINDICATES	anemia
OFLOXACIN	CONTRAINDICATES	diabetes mellitus
OFLOXACIN	CONTRAINDICATES	epilepsy
OFLOXACIN	CONTRAINDICATES	potassium deficiency disease
OFLOXACIN	CONTRAINDICATES	kidney disorder
OFLOXACIN	CONTRAINDICATES	leukopenia
OFLOXACIN	CONTRAINDICATES	tendinitis
OFLOXACIN	CONTRAINDICATES	myasthenia gravis
NALIDIXIC ACID	CONTRAINDICATES	tendinitis
NALIDIXIC ACID	CONTRAINDICATES	inherited porphyria
INDOMETHACIN	CONTRAINDICATES	depressive disorder
INDOMETHACIN	CONTRAINDICATES	gastric ulcer
INDOMETHACIN	CONTRAINDICATES	epilepsy
INDOMETHACIN	CONTRAINDICATES	myocardial infarction
INDOMETHACIN	CONTRAINDICATES	bacterial infectious disease
INDOMETHACIN	CONTRAINDICATES	corneal deposit
INDOMETHACIN	CONTRAINDICATES	kidney disorder
INDOMETHACIN	CONTRAINDICATES	proctitis
INDOMETHACIN	CONTRAINDICATES	stomatitis
INDOMETHACIN	CONTRAINDICATES	parkinsonian disorder
MAFENIDE	CONTRAINDICATES	metabolic acidosis
MAFENIDE	CONTRAINDICATES	kidney disorder
SULFANILAMIDE	CONTRAINDICATES	kidney disorder
SULFANILAMIDE	CONTRAINDICATES	inherited porphyria
SECOBARBITAL	CONTRAINDICATES	hepatic coma
SECOBARBITAL	CONTRAINDICATES	hepatic encephalopathy
SECOBARBITAL	CONTRAINDICATES	depressive disorder
SECOBARBITAL	CONTRAINDICATES	anemia
SECOBARBITAL	CONTRAINDICATES	substance abuse
SECOBARBITAL	CONTRAINDICATES	kidney disorder
SECOBARBITAL	CONTRAINDICATES	pneumonia
SECOBARBITAL	CONTRAINDICATES	heart disorder
