head_name	relation	tail_name
ALPROSTADIL	DOWNREGULATES	asparagine synthetase (glutamine-hydrolyzing)
ALPROSTADIL	DOWNREGULATES	DNA damage inducible transcript 3
ALPROSTADIL	DOWNREGULATES	TSC22 domain family member 3
ALPROSTADIL	DOWNREGULATES	dual specificity phosphatase 6
ALPROSTADIL	DOWNREGULATES	cysteinyl-tRNA synthetase 1
ALPROSTADIL	DOWNREGULATES	CCAAT enhancer binding protein gamma
ALPROSTADIL	DOWNREGULATES	paxillin
ALPROSTADIL	DOWNREGULATES	RAS p21 protein activator 1
ALPROSTADIL	DOWNREGULATES	seryl-tRNA synthetase 1
ALPROSTADIL	DOWNREGULATES	intermediate filament family orphan 1
ALPROSTADIL	DOWNREGULATES	stomatin like 1
ALPROSTADIL	DOWNREGULATES	coiled-coil domain containing 92
ALPROSTADIL	DOWNREGULATES	phosphoserine aminotransferase 1
ALPROSTADIL	DOWNREGULATES	homocysteine inducible ER protein with ubiquitin like domain 1
ALPROSTADIL	DOWNREGULATES	syncoilin, intermediate filament protein
ALPROSTADIL	DOWNREGULATES	high mobility group AT-hook 2
ALPROSTADIL	DOWNREGULATES	uridine phosphorylase 1
ALPROSTADIL	DOWNREGULATES	vascular endothelial growth factor C
ALPROSTADIL	DOWNREGULATES	ChaC glutathione specific gamma-glutamylcyclotransferase 1
ALPROSTADIL	DOWNREGULATES	CAP-Gly domain containing linker protein family member 4
ALPROSTADIL	DOWNREGULATES	STN1 subunit of CST complex
ALPROSTADIL	DOWNREGULATES	AHNAK nucleoprotein 2
ALPROSTADIL	DOWNREGULATES	Jun proto-oncogene, AP-1 transcription factor subunit
NALIDIXIC ACID	DOWNREGULATES	cell division cycle 25B
NALIDIXIC ACID	DOWNREGULATES	nuclear VCP like
NALIDIXIC ACID	DOWNREGULATES	TNF receptor superfamily member 21
NALIDIXIC ACID	DOWNREGULATES	VPS28 subunit of ESCRT-I
PENTOBARBITAL	DOWNREGULATES	translocase of inner mitochondrial membrane 9
PENTOBARBITAL	DOWNREGULATES	cyclin B2
PENTOBARBITAL	DOWNREGULATES	baculoviral IAP repeat containing 5
PENTOBARBITAL	DOWNREGULATES	stathmin 1
PENTOBARBITAL	DOWNREGULATES	cyclin A2
PENTOBARBITAL	DOWNREGULATES	hydroxyacyl-CoA dehydrogenase
PENTOBARBITAL	DOWNREGULATES	cyclin dependent kinase 1
PENTOBARBITAL	DOWNREGULATES	nuclear receptor subfamily 2 group F member 6
PENTOBARBITAL	DOWNREGULATES	cell division cycle 25B
PENTOBARBITAL	DOWNREGULATES	S100 calcium binding protein A4
PENTOBARBITAL	DOWNREGULATES	S100 calcium binding protein A13
PENTOBARBITAL	DOWNREGULATES	lysophospholipase 1
PENTOBARBITAL	DOWNREGULATES	proliferating cell nuclear antigen
PENTOBARBITAL	DOWNREGULATES	PCNA clamp associated factor
PENTOBARBITAL	DOWNREGULATES	tetraspanin 4
PENTOBARBITAL	DOWNREGULATES	C2 calcium dependent domain containing 5
PENTOBARBITAL	DOWNREGULATES	DNA topoisomerase II alpha
PENTOBARBITAL	DOWNREGULATES	translocase of inner mitochondrial membrane 17B
PENTOBARBITAL	DOWNREGULATES	aldo-keto reductase family 7 member A2
PENTOBARBITAL	DOWNREGULATES	isoleucyl-tRNA synthetase 2, mitochondrial
PENTOBARBITAL	DOWNREGULATES	mitochondrial ribosomal protein S16
PENTOBARBITAL	DOWNREGULATES	glyoxalase domain containing 4
PENTOBARBITAL	DOWNREGULATES	nucleolar and spindle associated protein 1
PENTOBARBITAL	DOWNREGULATES	ELOVL fatty acid elongase 6
PENTOBARBITAL	DOWNREGULATES	ubiquitin conjugating enzyme E2 C
PENTOBARBITAL	DOWNREGULATES	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated
METHARBITAL	DOWNREGULATES	tissue factor pathway inhibitor 2
CHEMBL414400	DOWNREGULATES	ribosomal protein S4 Y-linked 1
CHEMBL414400	DOWNREGULATES	triosephosphate isomerase 1
CHEMBL414400	DOWNREGULATES	poly(ADP-ribose) polymerase 2
SULFAMETHOXYPYRIDAZINE	DOWNREGULATES	translocase of inner mitochondrial membrane 9
