head_name	relation	tail_name
Goserelin	DRUG_COMBINATION	Enzalutamide
Goserelin	DRUG_COMBINATION	Dutasteride
Goserelin	DRUG_COMBINATION	Bicalutamide
Goserelin	DRUG_COMBINATION	Anastrozole
Goserelin	DRUG_COMBINATION	Docetaxel
Goserelin	DRUG_COMBINATION	Flutamide
Goserelin	DRUG_COMBINATION	Tamoxifen
Goserelin	DRUG_COMBINATION	Letrozole
Goserelin	DRUG_COMBINATION	Palbociclib
Goserelin	DRUG_COMBINATION	Darolutamide
Daidzin	DRUG_COMBINATION	Topotecan
Daidzin	DRUG_COMBINATION	Leflunomide
Daidzin	DRUG_COMBINATION	Sertraline
Daidzin	DRUG_COMBINATION	Sulfinpyrazone
Daidzin	DRUG_COMBINATION	Dihydroergotamine
Daidzin	DRUG_COMBINATION	Mefloquine
Daidzin	DRUG_COMBINATION	Cilostazol
Daidzin	DRUG_COMBINATION	Diphenidol
Daidzin	DRUG_COMBINATION	Pramipexole
Daidzin	DRUG_COMBINATION	Methocarbamol
Daidzin	DRUG_COMBINATION	Fenoprofen
Daidzin	DRUG_COMBINATION	Aprepitant
Daidzin	DRUG_COMBINATION	SN-38
Daidzin	DRUG_COMBINATION	Phensuximide
Daidzin	DRUG_COMBINATION	Cytarabine
Daidzin	DRUG_COMBINATION	Mardepodect
Daidzin	DRUG_COMBINATION	Triapine
Daidzin	DRUG_COMBINATION	Terameprocol
Daidzin	DRUG_COMBINATION	Emetine
Daidzin	DRUG_COMBINATION	Modufolin
Piperaquine	DRUG_COMBINATION	Chloroquine
Piperaquine	DRUG_COMBINATION	Mebendazole
Piperaquine	DRUG_COMBINATION	Omacetaxine mepesuccinate
Piperaquine	DRUG_COMBINATION	Plinabulin
Piperaquine	DRUG_COMBINATION	Methylene blue
Piperaquine	DRUG_COMBINATION	Panobinostat
Piperaquine	DRUG_COMBINATION	Artemether
Piperaquine	DRUG_COMBINATION	Lumefantrine
Piperaquine	DRUG_COMBINATION	Apitolisib
Piperaquine	DRUG_COMBINATION	Artemisinin
Piperaquine	DRUG_COMBINATION	Tetrandrine
Testosterone undecanoate	DRUG_COMBINATION	Testosterone undecanoate
Estradiol valerate	DRUG_COMBINATION	Progesterone
Estradiol valerate	DRUG_COMBINATION	Dienogest
Boceprevir	DRUG_COMBINATION	Raltegravir
Boceprevir	DRUG_COMBINATION	Dolutegravir
Boceprevir	DRUG_COMBINATION	Simeprevir
Fidaxomicin	DRUG_COMBINATION	Rosuvastatin
Cabozantinib	DRUG_COMBINATION	Idarubicin
Cabozantinib	DRUG_COMBINATION	Pemetrexed
Cabozantinib	DRUG_COMBINATION	Temozolomide
Cabozantinib	DRUG_COMBINATION	Vandetanib
Cabozantinib	DRUG_COMBINATION	Lutetium Lu 177 dotatate
Cabozantinib	DRUG_COMBINATION	Buparlisib
Cabozantinib	DRUG_COMBINATION	Formononetin
Cabozantinib	DRUG_COMBINATION	AZD-8055
Cabozantinib	DRUG_COMBINATION	Cabozantinib
Ruxolitinib	DRUG_COMBINATION	Vemurafenib
Ruxolitinib	DRUG_COMBINATION	Regorafenib
Ruxolitinib	DRUG_COMBINATION	Formestane
Ruxolitinib	DRUG_COMBINATION	Pomalidomide
Ruxolitinib	DRUG_COMBINATION	Trametinib
Ruxolitinib	DRUG_COMBINATION	Topotecan
Ruxolitinib	DRUG_COMBINATION	Mercaptopurine
Ruxolitinib	DRUG_COMBINATION	Fludarabine
Ruxolitinib	DRUG_COMBINATION	Capecitabine
Ruxolitinib	DRUG_COMBINATION	Quinacrine
Ruxolitinib	DRUG_COMBINATION	Bortezomib
Ruxolitinib	DRUG_COMBINATION	Bleomycin
Ruxolitinib	DRUG_COMBINATION	Chlorambucil
Ruxolitinib	DRUG_COMBINATION	Mitomycin
Ruxolitinib	DRUG_COMBINATION	Gefitinib
Ruxolitinib	DRUG_COMBINATION	Tioguanine
Ruxolitinib	DRUG_COMBINATION	Idarubicin
Ruxolitinib	DRUG_COMBINATION	Ifosfamide
Ruxolitinib	DRUG_COMBINATION	Estramustine
Ruxolitinib	DRUG_COMBINATION	Anastrozole
Ruxolitinib	DRUG_COMBINATION	Paclitaxel
Ruxolitinib	DRUG_COMBINATION	Dexamethasone
Ruxolitinib	DRUG_COMBINATION	Docetaxel
Ruxolitinib	DRUG_COMBINATION	Dasatinib
Ruxolitinib	DRUG_COMBINATION	Lapatinib
Ruxolitinib	DRUG_COMBINATION	Decitabine
Ruxolitinib	DRUG_COMBINATION	Sunitinib
Ruxolitinib	DRUG_COMBINATION	Dexrazoxane
Ruxolitinib	DRUG_COMBINATION	Valrubicin
Ruxolitinib	DRUG_COMBINATION	Trifluridine
Ruxolitinib	DRUG_COMBINATION	Gemcitabine
Ruxolitinib	DRUG_COMBINATION	Epirubicin
Ruxolitinib	DRUG_COMBINATION	Lenalidomide
Ruxolitinib	DRUG_COMBINATION	Raloxifene
Ruxolitinib	DRUG_COMBINATION	Celecoxib
Ruxolitinib	DRUG_COMBINATION	Altretamine
Ruxolitinib	DRUG_COMBINATION	Cisplatin
Ruxolitinib	DRUG_COMBINATION	Erlotinib
Ruxolitinib	DRUG_COMBINATION	Cyclophosphamide
Ruxolitinib	DRUG_COMBINATION	Pentostatin
Ruxolitinib	DRUG_COMBINATION	Digitoxin
Ruxolitinib	DRUG_COMBINATION	Danazol
Ruxolitinib	DRUG_COMBINATION	Imatinib
Ruxolitinib	DRUG_COMBINATION	Genistein
Ruxolitinib	DRUG_COMBINATION	Simvastatin
Ruxolitinib	DRUG_COMBINATION	Dyphylline
Ruxolitinib	DRUG_COMBINATION	Corticosterone
Ruxolitinib	DRUG_COMBINATION	Plicamycin
Ruxolitinib	DRUG_COMBINATION	Pralatrexate
Ruxolitinib	DRUG_COMBINATION	Uracil mustard
Ruxolitinib	DRUG_COMBINATION	Dacarbazine
Ruxolitinib	DRUG_COMBINATION	Temozolomide
Ruxolitinib	DRUG_COMBINATION	Sirolimus
Ruxolitinib	DRUG_COMBINATION	Mechlorethamine
Ruxolitinib	DRUG_COMBINATION	Azacitidine
Ruxolitinib	DRUG_COMBINATION	Fulvestrant
Ruxolitinib	DRUG_COMBINATION	Isoniazid
Ruxolitinib	DRUG_COMBINATION	Ixabepilone
Ruxolitinib	DRUG_COMBINATION	Nilotinib
Ruxolitinib	DRUG_COMBINATION	Picoplatin
Ruxolitinib	DRUG_COMBINATION	Abiraterone
Ruxolitinib	DRUG_COMBINATION	Tamibarotene
Ruxolitinib	DRUG_COMBINATION	Amonafide
Ruxolitinib	DRUG_COMBINATION	Methylprednisolone
Ruxolitinib	DRUG_COMBINATION	Dactinomycin
Ruxolitinib	DRUG_COMBINATION	Exemestane
Ruxolitinib	DRUG_COMBINATION	Hydroxyurea
Ruxolitinib	DRUG_COMBINATION	Letrozole
Ruxolitinib	DRUG_COMBINATION	Busulfan
Ruxolitinib	DRUG_COMBINATION	Romidepsin
Ruxolitinib	DRUG_COMBINATION	Pracinostat
Ruxolitinib	DRUG_COMBINATION	Ibrutinib
Ruxolitinib	DRUG_COMBINATION	Idelalisib
Ruxolitinib	DRUG_COMBINATION	Vandetanib
Ruxolitinib	DRUG_COMBINATION	Triapine
Ruxolitinib	DRUG_COMBINATION	Selinexor
Ruxolitinib	DRUG_COMBINATION	Duvelisib
Ruxolitinib	DRUG_COMBINATION	Abemaciclib
Ruxolitinib	DRUG_COMBINATION	Fostamatinib
Ruxolitinib	DRUG_COMBINATION	Dinaciclib
Ruxolitinib	DRUG_COMBINATION	Panobinostat
Ruxolitinib	DRUG_COMBINATION	Axitinib
Ruxolitinib	DRUG_COMBINATION	Itacitinib
Ruxolitinib	DRUG_COMBINATION	Cabazitaxel
Ruxolitinib	DRUG_COMBINATION	Terameprocol
Ruxolitinib	DRUG_COMBINATION	Vismodegib
Ruxolitinib	DRUG_COMBINATION	Crizotinib
Ruxolitinib	DRUG_COMBINATION	Liarozole
Ruxolitinib	DRUG_COMBINATION	Tretamine
Ruxolitinib	DRUG_COMBINATION	Navitoclax
Ruxolitinib	DRUG_COMBINATION	Venetoclax
Ruxolitinib	DRUG_COMBINATION	Umbralisib
