head_name	relation	tail_name
Regorafenib	METABOLIZED_BY	glucuronosyltransferase
Procainamide	METABOLIZED_BY	arylamine N-acetyltransferase
Abacavir	METABOLIZED_BY	alcohol dehydrogenase
Ibuprofen	METABOLIZED_BY	palmitoyl-CoA hydrolase
Ibuprofen	METABOLIZED_BY	alpha-methylacyl-CoA racemase
Benzylpenicillin	METABOLIZED_BY	beta-lactamase
Amoxicillin	METABOLIZED_BY	beta-lactamase
Melatonin	METABOLIZED_BY	indoleamine 2,3-dioxygenase
Melatonin	METABOLIZED_BY	acetylserotonin O-methyltransferase
Glipizide	METABOLIZED_BY	unspecific monooxygenase
Clonazepam	METABOLIZED_BY	6,7-dihydropteridine reductase
Atazanavir	METABOLIZED_BY	unspecific monooxygenase
Carvedilol	METABOLIZED_BY	unspecific monooxygenase
Micafungin	METABOLIZED_BY	cerebroside-sulfatase
Amifostine	METABOLIZED_BY	alkaline phosphatase
Phenylalanine	METABOLIZED_BY	phenylalanine--tRNA ligase
Choline	METABOLIZED_BY	choline kinase
Ascorbic acid	METABOLIZED_BY	procollagen-proline 4-dioxygenase
Ascorbic acid	METABOLIZED_BY	hypoxia-inducible factor-proline dioxygenase
Spermine	METABOLIZED_BY	N(1)-acetylpolyamine oxidase
Spermine	METABOLIZED_BY	spermine oxidase
Adenosine phosphate	METABOLIZED_BY	adenine phosphoribosyltransferase
alpha-Linolenic acid	METABOLIZED_BY	carboxylesterase
Methionine	METABOLIZED_BY	peptide-methionine (S)-S-oxide reductase
Methionine	METABOLIZED_BY	peptide-methionine (R)-S-oxide reductase
Methionine	METABOLIZED_BY	homoserine O-succinyltransferase
Methionine	METABOLIZED_BY	methionine adenosyltransferase
Methionine	METABOLIZED_BY	methionine--tRNA ligase
Riboflavin	METABOLIZED_BY	NAD(P)H dehydrogenase (quinone)
Riboflavin	METABOLIZED_BY	peroxidase
Riboflavin	METABOLIZED_BY	acid phosphatase
Glutathione	METABOLIZED_BY	glutathione peroxidase
Glutathione	METABOLIZED_BY	glutathione transferase
Glutathione	METABOLIZED_BY	glutathione-specific gamma-glutamylcyclotransferase
Glutathione	METABOLIZED_BY	gamma-glutamylcyclotransferase
Glutathione	METABOLIZED_BY	glutathione gamma-glutamate hydrolase
Glycine	METABOLIZED_BY	5-aminolevulinate synthase
Calcifediol	METABOLIZED_BY	vitamin D3 24-hydroxylase
Calcifediol	METABOLIZED_BY	calcidiol 1-monooxygenase
Leucine	METABOLIZED_BY	leucine--tRNA ligase
Tryptophan	METABOLIZED_BY	tryptophan 2,3-dioxygenase
Tryptophan	METABOLIZED_BY	indoleamine 2,3-dioxygenase
Tryptophan	METABOLIZED_BY	tryptophan 5-monooxygenase
Tryptophan	METABOLIZED_BY	tryptophan--tRNA ligase
Ergocalciferol	METABOLIZED_BY	vitamin D 25-hydroxylase
NADH	METABOLIZED_BY	3-hydroxyacyl-CoA dehydrogenase
NADH	METABOLIZED_BY	cytochrome-b5 reductase
NADH	METABOLIZED_BY	NADP-retinol dehydrogenase
Folic acid	METABOLIZED_BY	dihydrofolate reductase
Valine	METABOLIZED_BY	branched-chain-amino-acid transaminase
Valine	METABOLIZED_BY	valine--tRNA ligase
Valine	METABOLIZED_BY	propionyl-CoA carboxylase
Vitamin A	METABOLIZED_BY	3alpha(or 20beta)-hydroxysteroid dehydrogenase
Vitamin A	METABOLIZED_BY	11-cis-retinol dehydrogenase
Vitamin A	METABOLIZED_BY	retinal dehydrogenase
Vitamin A	METABOLIZED_BY	unspecific monooxygenase
Pyridoxine	METABOLIZED_BY	pyridoxal phosphatase
Menadione	METABOLIZED_BY	sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)
Menadione	METABOLIZED_BY	NADPH:quinone reductase
Menadione	METABOLIZED_BY	[methionine synthase] reductase
Amphetamine	METABOLIZED_BY	primary-amine oxidase
Nicotine	METABOLIZED_BY	nicotinate dehydrogenase (cytochrome)
Lorazepam	METABOLIZED_BY	glucuronosyltransferase
Erythromycin	METABOLIZED_BY	beta-glucuronidase
Lovastatin	METABOLIZED_BY	arylesterase
Enflurane	METABOLIZED_BY	unspecific monooxygenase
Liothyronine	METABOLIZED_BY	aryl sulfotransferase
Bleomycin	METABOLIZED_BY	bleomycin hydrolase
Ertapenem	METABOLIZED_BY	beta-lactamase
Piperacillin	METABOLIZED_BY	beta-lactamase
Floxuridine	METABOLIZED_BY	thymidine phosphorylase
Pyrazinamide	METABOLIZED_BY	nicotinamidase
Tioguanine	METABOLIZED_BY	hypoxanthine phosphoribosyltransferase
Aztreonam	METABOLIZED_BY	beta-lactamase
Halothane	METABOLIZED_BY	unspecific monooxygenase
Clindamycin	METABOLIZED_BY	beta-lactamase
Ceftriaxone	METABOLIZED_BY	beta-lactamase
Levodopa	METABOLIZED_BY	tyrosine decarboxylase
Gemfibrozil	METABOLIZED_BY	catechol 2,3-dioxygenase
Dasatinib	METABOLIZED_BY	flavin-containing monooxygenase
5'-S-methyl-5'-thioadenosine	METABOLIZED_BY	S-methyl-5'-thioadenosine phosphorylase
5'-S-methyl-5'-thioadenosine	METABOLIZED_BY	adenosylhomocysteine nucleosidase
Dexrazoxane	METABOLIZED_BY	dihydropyrimidinase
Progesterone	METABOLIZED_BY	20alpha-hydroxysteroid dehydrogenase
Progesterone	METABOLIZED_BY	unspecific monooxygenase
Progesterone	METABOLIZED_BY	steroid 21-monooxygenase
Eszopiclone	METABOLIZED_BY	unspecific monooxygenase
Acetohexamide	METABOLIZED_BY	NADP-retinol dehydrogenase
Ampicillin	METABOLIZED_BY	beta-lactamase
Nelarabine	METABOLIZED_BY	adenosine deaminase
Namn	METABOLIZED_BY	nicotinamide-nucleotide adenylyltransferase
Allopurinol	METABOLIZED_BY	arylamine N-acetyltransferase
Gemcitabine	METABOLIZED_BY	cytidine deaminase
Gemcitabine	METABOLIZED_BY	UMP/CMP kinase
Chloramphenicol	METABOLIZED_BY	glycerol-3-phosphate dehydrogenase [NAD(P)(+)]
Chloramphenicol	METABOLIZED_BY	chloramphenicol O-acetyltransferase
Cefalotin	METABOLIZED_BY	beta-lactamase
Prazosin	METABOLIZED_BY	unspecific monooxygenase
Nabumetone	METABOLIZED_BY	3alpha-hydroxysteroid 3-dehydrogenase
Amikacin	METABOLIZED_BY	cellulase
Zidovudine	METABOLIZED_BY	glucuronosyltransferase
Dextromethorphan	METABOLIZED_BY	cholest-4-en-3-one 26-monooxygenase [(25S)-3-oxocholest-4-en-26-oate forming]
Cisplatin	METABOLIZED_BY	glutathione dehydrogenase (ascorbate)
Cisplatin	METABOLIZED_BY	glutathione transferase
Cisplatin	METABOLIZED_BY	superoxide dismutase
Fluorouracil	METABOLIZED_BY	dihydropyrimidine dehydrogenase (NADP(+))
Fluorouracil	METABOLIZED_BY	uridine phosphorylase
Fluorouracil	METABOLIZED_BY	uracil phosphoribosyltransferase
Fluorouracil	METABOLIZED_BY	amidophosphoribosyltransferase
Fluorouracil	METABOLIZED_BY	orotidine-5'-phosphate decarboxylase
Methotrexate	METABOLIZED_BY	thymidylate synthase
Methotrexate	METABOLIZED_BY	thiopurine S-methyltransferase
Methotrexate	METABOLIZED_BY	dihydrofolate reductase
Methotrexate	METABOLIZED_BY	methylenetetrahydrofolate reductase [NAD(P)H]
Methotrexate	METABOLIZED_BY	glutamate carboxypeptidase II
Methotrexate	METABOLIZED_BY	folate gamma-glutamyl hydrolase
Carbamazepine	METABOLIZED_BY	microsomal epoxide hydrolase
Cortisone acetate	METABOLIZED_BY	11beta-hydroxysteroid dehydrogenase
Cefpodoxime	METABOLIZED_BY	beta-lactamase
1D-myo-inositol 1,4,5-trisphosphate	METABOLIZED_BY	inositol-polyphosphate multikinase
Phenethylamine	METABOLIZED_BY	primary-amine oxidase
Vorinostat	METABOLIZED_BY	glucuronosyltransferase
Carfentanil	METABOLIZED_BY	sterol esterase
Androstenedione	METABOLIZED_BY	testosterone 17beta-dehydrogenase (NADP(+))
Carbenicillin	METABOLIZED_BY	acyl-homoserine-lactone acylase
Carbenicillin	METABOLIZED_BY	beta-lactamase
Levocarnitine	METABOLIZED_BY	carnitine O-acetyltransferase
Diclofenac	METABOLIZED_BY	cholesterol 24-hydroxylase
