head_name	relation	tail_name
Peginterferon alfa-2a	METABOLIZED_BY	Cytochrome P450 1A2
Interferon alfa-n1	METABOLIZED_BY	Cytochrome P450 1A2
Interferon alfa-n3	METABOLIZED_BY	Cytochrome P450 1A2
Pegfilgrastim	METABOLIZED_BY	Neutrophil elastase
Peginterferon alfa-2b	METABOLIZED_BY	Cytochrome P450 1A2
Peginterferon alfa-2b	METABOLIZED_BY	Cytochrome P450 2C9
Peginterferon alfa-2b	METABOLIZED_BY	Cytochrome P450 2D6
Antihemophilic factor, human recombinant	METABOLIZED_BY	Vitamin K-dependent protein C
Antihemophilic factor, human recombinant	METABOLIZED_BY	Prothrombin
Insulin human	METABOLIZED_BY	Cytochrome P450 1A2
Insulin human	METABOLIZED_BY	Insulin-degrading enzyme
Insulin human	METABOLIZED_BY	Neuroendocrine convertase 1
Insulin human	METABOLIZED_BY	Neuroendocrine convertase 2
Interferon gamma-1b	METABOLIZED_BY	Cytochrome P450 1A2
Interferon alfa-2a	METABOLIZED_BY	Cytochrome P450 1A2
Desmopressin	METABOLIZED_BY	Prostaglandin G/H synthase 1
Desmopressin	METABOLIZED_BY	Prostaglandin G/H synthase 2
Aldesleukin	METABOLIZED_BY	Cytochrome P450 2E1
Aldesleukin	METABOLIZED_BY	Cytochrome P450 3A4
Aldesleukin	METABOLIZED_BY	Cytosolic phospholipase A2
Aldesleukin	METABOLIZED_BY	Prostaglandin G/H synthase 2
Aldesleukin	METABOLIZED_BY	Xanthine dehydrogenase/oxidase
Piperaquine	METABOLIZED_BY	Cytochrome P450 2C9
Piperaquine	METABOLIZED_BY	Cytochrome P450 2C19
Testosterone undecanoate	METABOLIZED_BY	Cytochrome P450 2C8
Testosterone undecanoate	METABOLIZED_BY	Cytochrome P450 2C9
Testosterone undecanoate	METABOLIZED_BY	Cytochrome P450 2C19
Testosterone undecanoate	METABOLIZED_BY	Cytochrome P450 3A5
Testosterone undecanoate	METABOLIZED_BY	Cytochrome P450 3A7
WIN 55212-2	METABOLIZED_BY	Cytochrome P450 3A4
Estradiol acetate	METABOLIZED_BY	Cytochrome P450 1A2
Estradiol acetate	METABOLIZED_BY	Cytochrome P450 2C8
Estradiol acetate	METABOLIZED_BY	Cytochrome P450 2C9
Estradiol acetate	METABOLIZED_BY	Cytochrome P450 2C19
Estradiol acetate	METABOLIZED_BY	Cytochrome P450 3A4
Estradiol acetate	METABOLIZED_BY	Cytochrome P450 3A5
Estradiol acetate	METABOLIZED_BY	Cytochrome P450 3A7
Estradiol acetate	METABOLIZED_BY	UDP-glucuronosyltransferase 1A1
Estradiol cypionate	METABOLIZED_BY	Cytochrome P450 1A2
Estradiol cypionate	METABOLIZED_BY	Cytochrome P450 2C8
Estradiol cypionate	METABOLIZED_BY	Cytochrome P450 2C9
Estradiol cypionate	METABOLIZED_BY	Cytochrome P450 2C19
Estradiol cypionate	METABOLIZED_BY	Cytochrome P450 3A4
Estradiol cypionate	METABOLIZED_BY	Cytochrome P450 3A5
Estradiol cypionate	METABOLIZED_BY	Cytochrome P450 3A7
Estradiol cypionate	METABOLIZED_BY	UDP-glucuronosyltransferase 1A1
Estradiol valerate	METABOLIZED_BY	Cytochrome P450 1A2
Estradiol valerate	METABOLIZED_BY	Cytochrome P450 2C8
Estradiol valerate	METABOLIZED_BY	Cytochrome P450 2C9
Estradiol valerate	METABOLIZED_BY	Cytochrome P450 2C19
Estradiol valerate	METABOLIZED_BY	Cytochrome P450 3A4
Estradiol valerate	METABOLIZED_BY	Cytochrome P450 3A5
Estradiol valerate	METABOLIZED_BY	Cytochrome P450 3A7
Estradiol valerate	METABOLIZED_BY	UDP-glucuronosyltransferase 1A1
Fish oil	METABOLIZED_BY	Cytochrome P450 3A4
1,2-dichlorobenzene	METABOLIZED_BY	Cytochrome P450 2E1
Boceprevir	METABOLIZED_BY	Cytochrome P450 3A4
Boceprevir	METABOLIZED_BY	Cytochrome P450 3A5
Cabozantinib	METABOLIZED_BY	Cytochrome P450 2C8
Cabozantinib	METABOLIZED_BY	Cytochrome P450 2C9
Cabozantinib	METABOLIZED_BY	Cytochrome P450 3A4
Aminopterin	METABOLIZED_BY	Dihydrofolate reductase
Teriflunomide	METABOLIZED_BY	Cytochrome P450 1A2
Teriflunomide	METABOLIZED_BY	Cytochrome P450 2C8
Vemurafenib	METABOLIZED_BY	Cytochrome P450 3A4
Perampanel	METABOLIZED_BY	Cytochrome P450 1A2
Perampanel	METABOLIZED_BY	Cytochrome P450 2B6
Perampanel	METABOLIZED_BY	Cytochrome P450 3A4
Perampanel	METABOLIZED_BY	Cytochrome P450 3A5
Mirabegron	METABOLIZED_BY	Cytochrome P450 2D6
Mirabegron	METABOLIZED_BY	Cytochrome P450 3A4
Tofacitinib	METABOLIZED_BY	Cytochrome P450 2C19
Tofacitinib	METABOLIZED_BY	Cytochrome P450 3A4
Regorafenib	METABOLIZED_BY	Cytochrome P450 2B6
Regorafenib	METABOLIZED_BY	Cytochrome P450 2C8
Regorafenib	METABOLIZED_BY	Cytochrome P450 2C9
Regorafenib	METABOLIZED_BY	Cytochrome P450 2C19
Regorafenib	METABOLIZED_BY	Cytochrome P450 3A4
Regorafenib	METABOLIZED_BY	UDP-glucuronosyltransferase 1A1
Regorafenib	METABOLIZED_BY	UDP-glucuronosyltransferase 1A9
Aclidinium	METABOLIZED_BY	Cholinesterase
Ponatinib	METABOLIZED_BY	Cytochrome P450 2D6
Ponatinib	METABOLIZED_BY	Cytochrome P450 3A4
Ponatinib	METABOLIZED_BY	Cytochrome P450 3A5
Bedaquiline	METABOLIZED_BY	Cytochrome P450 3A4
Certolizumab pegol	METABOLIZED_BY	Aldo-keto reductase family 1 member A1
Canagliflozin	METABOLIZED_BY	Cytochrome P450 3A4
Canagliflozin	METABOLIZED_BY	UDP-glucuronosyltransferase 1A9
Canagliflozin	METABOLIZED_BY	UDP-glucuronosyltransferase 2B4
Glycerol phenylbutyrate	METABOLIZED_BY	Aquaporin-7
Glycerol phenylbutyrate	METABOLIZED_BY	Cytochrome P450 2D6
