head_name	relation	tail_name
ALPROSTADIL	TARGETS	Prostaglandin E2 receptor EP1 subtype
ALPROSTADIL	TARGETS	Prostaglandin E2 receptor EP2 subtype
LEVOSULPIRIDE	TARGETS	5-hydroxytryptamine receptor 4
LEVOSULPIRIDE	TARGETS	D(2) dopamine receptor
RIMONABANT	TARGETS	Cannabinoid receptor 1
NICOTINE	TARGETS	Neuronal acetylcholine receptor subunit alpha-4
NICOTINE	TARGETS	Neuronal acetylcholine receptor subunit beta-2
DARAPLADIB	TARGETS	Platelet-activating factor acetylhydrolase
INDOMETHACIN	TARGETS	Prostaglandin G/H synthase 1
INDOMETHACIN	TARGETS	Prostaglandin G/H synthase 2
PENTOBARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-1
PENTOBARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-2
PENTOBARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-3
PENTOBARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-4
PENTOBARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-5
PENTOBARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-6
PENTOBARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit beta-1
PENTOBARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit beta-2
PENTOBARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit beta-3
PENTOBARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit delta
PENTOBARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit epsilon
PENTOBARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit gamma-1
PENTOBARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit gamma-2
PENTOBARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit gamma-3
PENTOBARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit pi
PENTOBARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit theta
METHARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-1
METHARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-2
METHARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-3
METHARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-4
METHARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-5
METHARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-6
METHARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit beta-1
METHARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit beta-2
METHARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit beta-3
METHARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit delta
METHARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit epsilon
METHARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit gamma-1
METHARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit gamma-2
METHARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit gamma-3
METHARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit pi
METHARBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit theta
CHLORDIAZEPOXIDE	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-1
CHLORDIAZEPOXIDE	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-2
CHLORDIAZEPOXIDE	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-3
CHLORDIAZEPOXIDE	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-4
CHLORDIAZEPOXIDE	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-5
CHLORDIAZEPOXIDE	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-6
CHLORDIAZEPOXIDE	TARGETS	Gamma-aminobutyric acid receptor subunit beta-1
CHLORDIAZEPOXIDE	TARGETS	Gamma-aminobutyric acid receptor subunit beta-2
CHLORDIAZEPOXIDE	TARGETS	Gamma-aminobutyric acid receptor subunit beta-3
CHLORDIAZEPOXIDE	TARGETS	Gamma-aminobutyric acid receptor subunit delta
CHLORDIAZEPOXIDE	TARGETS	Gamma-aminobutyric acid receptor subunit epsilon
CHLORDIAZEPOXIDE	TARGETS	Gamma-aminobutyric acid receptor subunit gamma-1
CHLORDIAZEPOXIDE	TARGETS	Gamma-aminobutyric acid receptor subunit gamma-2
CHLORDIAZEPOXIDE	TARGETS	Gamma-aminobutyric acid receptor subunit gamma-3
CHLORDIAZEPOXIDE	TARGETS	Gamma-aminobutyric acid receptor subunit pi
CHLORDIAZEPOXIDE	TARGETS	Gamma-aminobutyric acid receptor subunit theta
CLONAZEPAM	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-1
CLONAZEPAM	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-2
CLONAZEPAM	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-3
CLONAZEPAM	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-4
CLONAZEPAM	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-5
CLONAZEPAM	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-6
CLONAZEPAM	TARGETS	Gamma-aminobutyric acid receptor subunit beta-1
CLONAZEPAM	TARGETS	Gamma-aminobutyric acid receptor subunit beta-2
CLONAZEPAM	TARGETS	Gamma-aminobutyric acid receptor subunit beta-3
CLONAZEPAM	TARGETS	Gamma-aminobutyric acid receptor subunit delta
CLONAZEPAM	TARGETS	Gamma-aminobutyric acid receptor subunit epsilon
CLONAZEPAM	TARGETS	Gamma-aminobutyric acid receptor subunit gamma-1
CLONAZEPAM	TARGETS	Gamma-aminobutyric acid receptor subunit gamma-2
CLONAZEPAM	TARGETS	Gamma-aminobutyric acid receptor subunit gamma-3
CLONAZEPAM	TARGETS	Gamma-aminobutyric acid receptor subunit pi
CLONAZEPAM	TARGETS	Gamma-aminobutyric acid receptor subunit theta
SULFASALAZINE	TARGETS	Polyunsaturated fatty acid 5-lipoxygenase
SULFASALAZINE	TARGETS	Prostaglandin G/H synthase 1
SULFASALAZINE	TARGETS	Prostaglandin G/H synthase 2
BUTALBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-1
BUTALBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-2
BUTALBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-3
BUTALBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-4
BUTALBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-5
BUTALBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit alpha-6
BUTALBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit beta-1
BUTALBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit beta-2
BUTALBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit beta-3
BUTALBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit delta
BUTALBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit epsilon
BUTALBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit gamma-1
BUTALBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit gamma-2
BUTALBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit gamma-3
BUTALBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit pi
BUTALBITAL	TARGETS	Gamma-aminobutyric acid receptor subunit theta
AMSACRINE	TARGETS	DNA topoisomerase 2-alpha
AMSACRINE	TARGETS	DNA topoisomerase 2-beta
ETHACRYNIC ACID	TARGETS	Solute carrier family 12 member 1
ATENOLOL	TARGETS	Beta-1 adrenergic receptor
ASPIRIN	TARGETS	Prostaglandin G/H synthase 1
ASPIRIN	TARGETS	Prostaglandin G/H synthase 2
SULPIRIDE	TARGETS	D(2) dopamine receptor
PRACTOLOL	TARGETS	Beta-1 adrenergic receptor
GEMFIBROZIL	TARGETS	Peroxisome proliferator-activated receptor alpha
MELATONIN	TARGETS	Melatonin receptor type 1A
MELATONIN	TARGETS	Melatonin receptor type 1B
FLINDOKALNER	TARGETS	Calcium-activated potassium channel subunit alpha-1
FLINDOKALNER	TARGETS	Potassium voltage-gated channel subfamily KQT member 2
FLINDOKALNER	TARGETS	Potassium voltage-gated channel subfamily KQT member 3
FLINDOKALNER	TARGETS	Potassium voltage-gated channel subfamily KQT member 4
FLINDOKALNER	TARGETS	Potassium voltage-gated channel subfamily KQT member 5
ONDANSETRON	TARGETS	5-hydroxytryptamine receptor 3A
TOLIMIDONE	TARGETS	Tyrosine-protein kinase Lyn
HYDROXYUREA	TARGETS	Ribonucleoside-diphosphate reductase large subunit
HYDROXYUREA	TARGETS	Ribonucleoside-diphosphate reductase subunit M2 B
HYDROXYUREA	TARGETS	Ribonucleoside-diphosphate reductase subunit M2
ROLIPRAM	TARGETS	3',5'-cyclic-AMP phosphodiesterase 4A
ROLIPRAM	TARGETS	3',5'-cyclic-AMP phosphodiesterase 4B
ROLIPRAM	TARGETS	3',5'-cyclic-AMP phosphodiesterase 4C
ROLIPRAM	TARGETS	3',5'-cyclic-AMP phosphodiesterase 4D
THIORIDAZINE	TARGETS	5-hydroxytryptamine receptor 2A
THIORIDAZINE	TARGETS	5-hydroxytryptamine receptor 2C
THIORIDAZINE	TARGETS	D(2) dopamine receptor
THIORIDAZINE	TARGETS	D(3) dopamine receptor
THIORIDAZINE	TARGETS	D(4) dopamine receptor
LANSOPRAZOLE	TARGETS	Potassium-transporting ATPase alpha chain 1
LANSOPRAZOLE	TARGETS	Potassium-transporting ATPase subunit beta
CHEMBL9568	TARGETS	Dihydrofolate reductase
METHYLDOPA	TARGETS	Alpha-2A adrenergic receptor
METHYLDOPA	TARGETS	Alpha-2B adrenergic receptor
METHYLDOPA	TARGETS	Alpha-2C adrenergic receptor
HALOPERIDOL	TARGETS	5-hydroxytryptamine receptor 2A
HALOPERIDOL	TARGETS	D(2) dopamine receptor
HALOPERIDOL	TARGETS	D(3) dopamine receptor
HALOPERIDOL	TARGETS	D(4) dopamine receptor
THALIDOMIDE	TARGETS	DNA damage-binding protein 1
THALIDOMIDE	TARGETS	Protein cereblon
THALIDOMIDE	TARGETS	Cullin-4A
THALIDOMIDE	TARGETS	E3 ubiquitin-protein ligase RBX1
CIMETIDINE	TARGETS	Histamine H2 receptor
