head_name	relation	tail_name
Gramicidin D	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Daidzin	TRANSPORTED_BY	Broad substrate specificity ATP-binding cassette transporter ABCG2
Testosterone cypionate	TRANSPORTED_BY	Broad substrate specificity ATP-binding cassette transporter ABCG2
Testosterone cypionate	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Testosterone cypionate	TRANSPORTED_BY	Hepatic sodium/bile acid cotransporter
Testosterone cypionate	TRANSPORTED_BY	Solute carrier family 22 member 3
Testosterone cypionate	TRANSPORTED_BY	Solute carrier family 22 member 4
Testosterone cypionate	TRANSPORTED_BY	Solute carrier family 22 member 7
Testosterone cypionate	TRANSPORTED_BY	Organic anion transporter 3
Testosterone cypionate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1A2
Testosterone enanthate	TRANSPORTED_BY	Broad substrate specificity ATP-binding cassette transporter ABCG2
Testosterone enanthate	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Testosterone enanthate	TRANSPORTED_BY	Hepatic sodium/bile acid cotransporter
Testosterone enanthate	TRANSPORTED_BY	Solute carrier family 22 member 3
Testosterone enanthate	TRANSPORTED_BY	Solute carrier family 22 member 4
Testosterone enanthate	TRANSPORTED_BY	Solute carrier family 22 member 7
Testosterone enanthate	TRANSPORTED_BY	Organic anion transporter 3
Testosterone enanthate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1A2
Testosterone undecanoate	TRANSPORTED_BY	Broad substrate specificity ATP-binding cassette transporter ABCG2
Testosterone undecanoate	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Testosterone undecanoate	TRANSPORTED_BY	Hepatic sodium/bile acid cotransporter
Testosterone undecanoate	TRANSPORTED_BY	Solute carrier family 22 member 2
Testosterone undecanoate	TRANSPORTED_BY	Solute carrier family 22 member 4
Testosterone undecanoate	TRANSPORTED_BY	Solute carrier family 22 member 7
Testosterone undecanoate	TRANSPORTED_BY	Organic anion transporter 3
Testosterone undecanoate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1A2
Testosterone undecanoate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B3
Testosterone undecanoate	TRANSPORTED_BY	Multidrug and toxin extrusion protein 1
Stanolone acetate	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Estradiol acetate	TRANSPORTED_BY	Broad substrate specificity ATP-binding cassette transporter ABCG2
Estradiol acetate	TRANSPORTED_BY	ATP-binding cassette sub-family C member 10
Estradiol acetate	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Estradiol acetate	TRANSPORTED_BY	Solute carrier family 22 member 1
Estradiol acetate	TRANSPORTED_BY	Solute carrier family 22 member 2
Estradiol acetate	TRANSPORTED_BY	Solute carrier family 22 member 3
Estradiol acetate	TRANSPORTED_BY	Organic anion transporter 3
Estradiol acetate	TRANSPORTED_BY	Solute carrier family 22 member 11
Estradiol acetate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1A2
Estradiol acetate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B1
Estradiol acetate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B3
Estradiol acetate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1C1
Estradiol acetate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 2B1
Estradiol acetate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 4A1
Estradiol benzoate	TRANSPORTED_BY	Broad substrate specificity ATP-binding cassette transporter ABCG2
Estradiol benzoate	TRANSPORTED_BY	ATP-binding cassette sub-family C member 10
Estradiol benzoate	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Estradiol benzoate	TRANSPORTED_BY	Solute carrier family 22 member 1
Estradiol benzoate	TRANSPORTED_BY	Solute carrier family 22 member 2
Estradiol benzoate	TRANSPORTED_BY	Solute carrier family 22 member 3
Estradiol benzoate	TRANSPORTED_BY	Organic anion transporter 3
Estradiol benzoate	TRANSPORTED_BY	Solute carrier family 22 member 11
Estradiol benzoate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1A2
Estradiol benzoate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B1
Estradiol benzoate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B3
Estradiol benzoate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1C1
Estradiol benzoate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 2B1
Estradiol benzoate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 4A1
Estradiol cypionate	TRANSPORTED_BY	Broad substrate specificity ATP-binding cassette transporter ABCG2
Estradiol cypionate	TRANSPORTED_BY	ATP-binding cassette sub-family C member 10
Estradiol cypionate	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Estradiol cypionate	TRANSPORTED_BY	Solute carrier family 22 member 1
Estradiol cypionate	TRANSPORTED_BY	Solute carrier family 22 member 2
Estradiol cypionate	TRANSPORTED_BY	Solute carrier family 22 member 3
Estradiol cypionate	TRANSPORTED_BY	Organic anion transporter 3
Estradiol cypionate	TRANSPORTED_BY	Solute carrier family 22 member 11
Estradiol cypionate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1A2
Estradiol cypionate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B1
Estradiol cypionate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B3
Estradiol cypionate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1C1
Estradiol cypionate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 2B1
Estradiol cypionate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 4A1
Estradiol dienanthate	TRANSPORTED_BY	Broad substrate specificity ATP-binding cassette transporter ABCG2
Estradiol dienanthate	TRANSPORTED_BY	ATP-binding cassette sub-family C member 10
Estradiol dienanthate	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Estradiol dienanthate	TRANSPORTED_BY	Solute carrier family 22 member 1
Estradiol dienanthate	TRANSPORTED_BY	Solute carrier family 22 member 2
Estradiol dienanthate	TRANSPORTED_BY	Solute carrier family 22 member 3
Estradiol dienanthate	TRANSPORTED_BY	Organic anion transporter 3
Estradiol dienanthate	TRANSPORTED_BY	Solute carrier family 22 member 11
Estradiol dienanthate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1A2
Estradiol dienanthate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B1
Estradiol dienanthate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B3
Estradiol dienanthate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1C1
Estradiol dienanthate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 2B1
Estradiol dienanthate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 4A1
Estradiol valerate	TRANSPORTED_BY	Broad substrate specificity ATP-binding cassette transporter ABCG2
Estradiol valerate	TRANSPORTED_BY	ATP-binding cassette sub-family C member 10
Estradiol valerate	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Estradiol valerate	TRANSPORTED_BY	Solute carrier family 22 member 1
Estradiol valerate	TRANSPORTED_BY	Solute carrier family 22 member 2
Estradiol valerate	TRANSPORTED_BY	Solute carrier family 22 member 3
Estradiol valerate	TRANSPORTED_BY	Organic anion transporter 3
Estradiol valerate	TRANSPORTED_BY	Solute carrier family 22 member 11
Estradiol valerate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1A2
Estradiol valerate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B1
Estradiol valerate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B3
Estradiol valerate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1C1
Estradiol valerate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 2B1
Estradiol valerate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 4A1
Boceprevir	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Fidaxomicin	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Aminopterin	TRANSPORTED_BY	Proton-coupled folate transporter
Teriflunomide	TRANSPORTED_BY	Broad substrate specificity ATP-binding cassette transporter ABCG2
Teriflunomide	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B1
Vemurafenib	TRANSPORTED_BY	Broad substrate specificity ATP-binding cassette transporter ABCG2
Vemurafenib	TRANSPORTED_BY	Multidrug resistance-associated protein 1
Vemurafenib	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Vemurafenib	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B1
Vemurafenib	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B3
Linagliptin	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Linagliptin	TRANSPORTED_BY	Solute carrier family 22 member 1
Linagliptin	TRANSPORTED_BY	Solute carrier family 22 member 2
Linagliptin	TRANSPORTED_BY	Solute carrier family 22 member 3
Gadoxetic acid	TRANSPORTED_BY	ATP-binding cassette sub-family C member 2
Gadoxetic acid	TRANSPORTED_BY	ATP-binding cassette sub-family C member 3
Gadoxetic acid	TRANSPORTED_BY	ATP-binding cassette sub-family C member 4
Gadoxetic acid	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B1
Gadoxetic acid	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B3
Carfilzomib	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Arbaclofen Placarbil	TRANSPORTED_BY	Monocarboxylate transporter 1
Mirabegron	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Mirabegron	TRANSPORTED_BY	Solute carrier family 22 member 1
Mirabegron	TRANSPORTED_BY	Solute carrier family 22 member 2
Mirabegron	TRANSPORTED_BY	Solute carrier family 22 member 3
Mirabegron	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1A2
Regorafenib	TRANSPORTED_BY	Broad substrate specificity ATP-binding cassette transporter ABCG2
Regorafenib	TRANSPORTED_BY	ATP-binding cassette sub-family C member 2
Regorafenib	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Regorafenib	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B1
Enzalutamide	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Ponatinib	TRANSPORTED_BY	Broad substrate specificity ATP-binding cassette transporter ABCG2
Ponatinib	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Fluticasone furoate	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Fluticasone furoate	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B1
Canagliflozin	TRANSPORTED_BY	Broad substrate specificity ATP-binding cassette transporter ABCG2
Canagliflozin	TRANSPORTED_BY	ATP-binding cassette sub-family C member 2
Canagliflozin	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Pomalidomide	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Dabrafenib	TRANSPORTED_BY	Broad substrate specificity ATP-binding cassette transporter ABCG2
Dabrafenib	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Dabrafenib	TRANSPORTED_BY	Solute carrier family 22 member 2
Dabrafenib	TRANSPORTED_BY	Solute carrier family 22 member 6
Dabrafenib	TRANSPORTED_BY	Organic anion transporter 3
Dabrafenib	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1A2
Dabrafenib	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B1
Dabrafenib	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B3
Geneticin	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Citric acid	TRANSPORTED_BY	Na(+)/citrate cotransporter
Citric acid	TRANSPORTED_BY	Solute carrier organic anion transporter family member 2B1
Sphingosine	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Somatotropin	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Vasopressin	TRANSPORTED_BY	ATP-binding cassette sub-family C member 2
Daptomycin	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Cyclosporine	TRANSPORTED_BY	Bile salt export pump
Cyclosporine	TRANSPORTED_BY	Broad substrate specificity ATP-binding cassette transporter ABCG2
Cyclosporine	TRANSPORTED_BY	ATP-binding cassette sub-family C member 2
Cyclosporine	TRANSPORTED_BY	ATP-binding cassette sub-family C member 10
Cyclosporine	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Cyclosporine	TRANSPORTED_BY	Ileal sodium/bile acid cotransporter
Cyclosporine	TRANSPORTED_BY	Hepatic sodium/bile acid cotransporter
Cyclosporine	TRANSPORTED_BY	Solute carrier family 22 member 6
Cyclosporine	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B1
Cyclosporine	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B3
Agalsidase beta	TRANSPORTED_BY	Cation-dependent mannose-6-phosphate receptor
Octreotide	TRANSPORTED_BY	ATP-binding cassette sub-family C member 2
Octreotide	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Oxytocin	TRANSPORTED_BY	Advanced glycosylation end product-specific receptor
Minocycline	TRANSPORTED_BY	Solute carrier family 22 member 6
Minocycline	TRANSPORTED_BY	Solute carrier family 22 member 7
Guanfacine	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Guanfacine	TRANSPORTED_BY	Solute carrier family 22 member 1
Guanfacine	TRANSPORTED_BY	Solute carrier family 22 member 2
Guanfacine	TRANSPORTED_BY	Multidrug and toxin extrusion protein 1
Trichlormethiazide	TRANSPORTED_BY	Organic anion transporter 3
Felodipine	TRANSPORTED_BY	Bile salt export pump
Felodipine	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Ketoconazole	TRANSPORTED_BY	Bile salt export pump
Ketoconazole	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Ketoconazole	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B1
Irbesartan	TRANSPORTED_BY	Solute carrier family 15 member 1
Topotecan	TRANSPORTED_BY	Broad substrate specificity ATP-binding cassette transporter ABCG2
Topotecan	TRANSPORTED_BY	Multidrug resistance-associated protein 1
Topotecan	TRANSPORTED_BY	ATP-binding cassette sub-family C member 4
Topotecan	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Topotecan	TRANSPORTED_BY	Multidrug and toxin extrusion protein 1
Topotecan	TRANSPORTED_BY	Multidrug and toxin extrusion protein 2
Probenecid	TRANSPORTED_BY	Solute carrier family 2, facilitated glucose transporter member 9
Probenecid	TRANSPORTED_BY	Monocarboxylate transporter 1
Probenecid	TRANSPORTED_BY	Monocarboxylate transporter 2
Probenecid	TRANSPORTED_BY	Monocarboxylate transporter 6
Probenecid	TRANSPORTED_BY	Multidrug resistance-associated protein 1
Probenecid	TRANSPORTED_BY	ATP-binding cassette sub-family C member 2
Probenecid	TRANSPORTED_BY	ATP-binding cassette sub-family C member 3
Probenecid	TRANSPORTED_BY	ATP-binding cassette sub-family C member 4
Probenecid	TRANSPORTED_BY	ATP-binding cassette sub-family C member 5
Probenecid	TRANSPORTED_BY	ATP-binding cassette sub-family C member 6
Probenecid	TRANSPORTED_BY	ATP-binding cassette sub-family C member 11
Probenecid	TRANSPORTED_BY	Hepatic sodium/bile acid cotransporter
Probenecid	TRANSPORTED_BY	Solute carrier family 22 member 1
Probenecid	TRANSPORTED_BY	Solute carrier family 22 member 2
Probenecid	TRANSPORTED_BY	Organic cation/carnitine transporter 2
Probenecid	TRANSPORTED_BY	Solute carrier family 22 member 6
Probenecid	TRANSPORTED_BY	Solute carrier family 22 member 7
Probenecid	TRANSPORTED_BY	Organic anion transporter 3
Probenecid	TRANSPORTED_BY	Solute carrier family 22 member 10
Probenecid	TRANSPORTED_BY	Solute carrier family 22 member 11
Probenecid	TRANSPORTED_BY	Solute carrier family 22 member 12
Probenecid	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1A2
Probenecid	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1C1
Mercaptopurine	TRANSPORTED_BY	Broad substrate specificity ATP-binding cassette transporter ABCG2
Mercaptopurine	TRANSPORTED_BY	ATP-binding cassette sub-family C member 4
Mercaptopurine	TRANSPORTED_BY	ATP-binding cassette sub-family C member 5
Mercaptopurine	TRANSPORTED_BY	Organic anion transporter 3
Mercaptopurine	TRANSPORTED_BY	Sodium/nucleoside cotransporter 2
Mercaptopurine	TRANSPORTED_BY	Solute carrier family 28 member 3
Mercaptopurine	TRANSPORTED_BY	Equilibrative nucleoside transporter 1
Mercaptopurine	TRANSPORTED_BY	Equilibrative nucleoside transporter 2
Mercaptopurine	TRANSPORTED_BY	Equilibrative nucleobase transporter 1
Procainamide	TRANSPORTED_BY	Solute carrier family 22 member 1
Procainamide	TRANSPORTED_BY	Solute carrier family 22 member 2
Procainamide	TRANSPORTED_BY	Solute carrier family 22 member 3
Procainamide	TRANSPORTED_BY	Solute carrier family 22 member 4
Procainamide	TRANSPORTED_BY	Organic cation/carnitine transporter 2
Procainamide	TRANSPORTED_BY	Multidrug and toxin extrusion protein 1
Procainamide	TRANSPORTED_BY	Multidrug and toxin extrusion protein 2
Selegiline	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Fenofibrate	TRANSPORTED_BY	Bile salt export pump
Melphalan	TRANSPORTED_BY	Asc-type amino acid transporter 1
Melphalan	TRANSPORTED_BY	Large neutral amino acids transporter small subunit 1
Melphalan	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Melphalan	TRANSPORTED_BY	Solute carrier family 22 member 3
Memantine	TRANSPORTED_BY	Solute carrier family 22 member 2
Memantine	TRANSPORTED_BY	Solute carrier family 22 member 4
Memantine	TRANSPORTED_BY	Multidrug and toxin extrusion protein 1
Memantine	TRANSPORTED_BY	Sodium/hydrogen exchanger 1
Gatifloxacin	TRANSPORTED_BY	ATP-binding cassette sub-family C member 2
Gatifloxacin	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Gatifloxacin	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1A2
Rifampin	TRANSPORTED_BY	Bile salt export pump
Rifampin	TRANSPORTED_BY	Broad substrate specificity ATP-binding cassette transporter ABCG2
Rifampin	TRANSPORTED_BY	Multidrug resistance-associated protein 1
Rifampin	TRANSPORTED_BY	ATP-binding cassette sub-family C member 2
Rifampin	TRANSPORTED_BY	ATP-binding cassette sub-family C member 3
Rifampin	TRANSPORTED_BY	ATP-binding cassette sub-family C member 5
Rifampin	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Rifampin	TRANSPORTED_BY	Solute carrier family 22 member 6
Rifampin	TRANSPORTED_BY	Solute carrier family 22 member 7
Rifampin	TRANSPORTED_BY	Organic anion transporter 3
Rifampin	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1A2
Rifampin	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B1
Rifampin	TRANSPORTED_BY	Solute carrier organic anion transporter family member 1B3
Rifampin	TRANSPORTED_BY	Solute carrier organic anion transporter family member 2B1
Abacavir	TRANSPORTED_BY	Broad substrate specificity ATP-binding cassette transporter ABCG2
Abacavir	TRANSPORTED_BY	ATP-binding cassette sub-family C member 4
Abacavir	TRANSPORTED_BY	ATP-dependent translocase ABCB1
Ibuprofen	TRANSPORTED_BY	Monocarboxylate transporter 2
Ibuprofen	TRANSPORTED_BY	Multidrug resistance-associated protein 1
