head_name	relation	tail_name
ALPROSTADIL	TREATS	physiological sexual disorder
ALPROSTADIL	TREATS	cardiovascular disorder
ALPROSTADIL	TREATS	macular degeneration
ALPROSTADIL	TREATS	severe acute respiratory syndrome
ALPROSTADIL	TREATS	acute kidney injury
ALPROSTADIL	TREATS	pulmonary hypertension
ALPROSTADIL	TREATS	heart failure
ALPROSTADIL	TREATS	peripheral vascular disease
ALPROSTADIL	TREATS	erectile dysfunction
ALPROSTADIL	TREATS	peripheral arterial disease
ALPROSTADIL	TREATS	tetralogy of fallot
ALPROSTADIL	TREATS	anterior ischemic optic neuropathy
ALPROSTADIL	TREATS	arteriosclerosis obliterans
ALPROSTADIL	TREATS	patent ductus arteriosus
ALPROSTADIL	TREATS	adult acute respiratory distress syndrome
BROMOCRIPTINE	TREATS	intellectual disability
BROMOCRIPTINE	TREATS	Alzheimer disease
BROMOCRIPTINE	TREATS	type 1 diabetes mellitus
BROMOCRIPTINE	TREATS	Parkinson disease
BROMOCRIPTINE	TREATS	anorexia nervosa
BROMOCRIPTINE	TREATS	adenomyosis
BROMOCRIPTINE	TREATS	obesity disorder
BROMOCRIPTINE	TREATS	ovarian hyperstimulation syndrome
BROMOCRIPTINE	TREATS	peripartum cardiomyopathy
BROMOCRIPTINE	TREATS	acquired hyperprolactinemia
BROMOCRIPTINE	TREATS	neuroleptic malignant syndrome
BROMOCRIPTINE	TREATS	acromegaly
LEVOSULPIRIDE	TREATS	dyspepsia
LEVOSULPIRIDE	TREATS	psychotic disorder
RACLOPRIDE	TREATS	obesity disorder
RIMONABANT	TREATS	arteriosclerosis disorder
RIMONABANT	TREATS	cardiovascular disorder
RIMONABANT	TREATS	coronary artery disorder
RIMONABANT	TREATS	inherited lipid metabolism disorder
RIMONABANT	TREATS	type 2 diabetes mellitus
RIMONABANT	TREATS	cannabis dependence
RIMONABANT	TREATS	nicotine dependence
RIMONABANT	TREATS	fatty liver disease
RIMONABANT	TREATS	prediabetes syndrome
RIMONABANT	TREATS	Prader-Willi syndrome
RIMONABANT	TREATS	obesity disorder
RIMONABANT	TREATS	metabolic syndrome X
RIMONABANT	TREATS	spinal cord injury
PRIMAQUINE	TREATS	severe acute respiratory syndrome
PRIMAQUINE	TREATS	malaria
PRIMAQUINE	TREATS	G6PD deficiency
PRIMAQUINE	TREATS	Plasmodium falciparum malaria
PRIMAQUINE	TREATS	Plasmodium vivax malaria
PRIMAQUINE	TREATS	obesity disorder
PRIMAQUINE	TREATS	pneumocystosis
CLODRONIC ACID	TREATS	bone disorder
CLODRONIC ACID	TREATS	brachial plexus neuropathy
PRAZOSIN	TREATS	hypertensive disorder
PRAZOSIN	TREATS	severe acute respiratory syndrome
PRAZOSIN	TREATS	methamphetamine dependence
PRAZOSIN	TREATS	alcohol withdrawal
PRAZOSIN	TREATS	nicotine dependence
PRAZOSIN	TREATS	nephrolithiasis
PRAZOSIN	TREATS	anxiety
NICOTINE	TREATS	pulmonary sarcoidosis
NICOTINE	TREATS	depressive disorder
NICOTINE	TREATS	carcinoma
NICOTINE	TREATS	chronic obstructive pulmonary disease
NICOTINE	TREATS	sarcoma
NICOTINE	TREATS	severe acute respiratory syndrome
NICOTINE	TREATS	Parkinson disease
NICOTINE	TREATS	cocaine dependence
NICOTINE	TREATS	heart failure
NICOTINE	TREATS	drug dependence
NICOTINE	TREATS	cannabis dependence
NICOTINE	TREATS	nicotine dependence
NICOTINE	TREATS	attention deficit-hyperactivity disorder
NICOTINE	TREATS	sarcoidosis
NICOTINE	TREATS	lung neoplasm
NICOTINE	TREATS	injury
