head_name	relation	tail_name
Cbp/p300-interacting transactivator 1	ASSOCIATED_WITH	hypopigmentation of the skin
Cbp/p300-interacting transactivator 1	ASSOCIATED_WITH	renal dysplasia
Cbp/p300-interacting transactivator 2	ASSOCIATED_WITH	congenital heart defects, multiple types
Cbp/p300-interacting transactivator 2	ASSOCIATED_WITH	heart septal defect
Cbp/p300-interacting transactivator 2	ASSOCIATED_WITH	intellectual disability
Cbp/p300-interacting transactivator 2	ASSOCIATED_WITH	primary ovarian failure
Cbp/p300-interacting transactivator 2	ASSOCIATED_WITH	congenital heart disease
Cbp/p300-interacting transactivator 2	ASSOCIATED_WITH	tetralogy of fallot
Cbp/p300-interacting transactivator 2	ASSOCIATED_WITH	ventricular septal defect 2
Cbp/p300-interacting transactivator 2	ASSOCIATED_WITH	atrial septal defect 8
Cbp/p300-interacting transactivator 2	ASSOCIATED_WITH	acute myeloid leukemia
Cbp/p300-interacting transactivator 2	ASSOCIATED_WITH	neurofibromatosis type 1
Cbp/p300-interacting transactivator 2	ASSOCIATED_WITH	neural tube defect
Cbp/p300-interacting transactivator 4	ASSOCIATED_WITH	glioblastoma
Cbp/p300-interacting transactivator 4	ASSOCIATED_WITH	astrocytoma (excluding glioblastoma)
Cip1-interacting zinc finger protein	ASSOCIATED_WITH	dystonia 23
Cip1-interacting zinc finger protein	ASSOCIATED_WITH	inherited dystonia
UPF0728 protein C10orf53	ASSOCIATED_WITH	primary angle-closure glaucoma
UPF0728 protein C10orf53	ASSOCIATED_WITH	acute myeloid leukemia
Uncharacterized protein C10orf67, mitochondrial	ASSOCIATED_WITH	brain cancer
Uncharacterized protein C10orf67, mitochondrial	ASSOCIATED_WITH	sarcoidosis
(E2-independent) E3 ubiquitin-conjugating enzyme FATS	ASSOCIATED_WITH	schizophrenia
(E2-independent) E3 ubiquitin-conjugating enzyme FATS	ASSOCIATED_WITH	prostate carcinoma
(E2-independent) E3 ubiquitin-conjugating enzyme FATS	ASSOCIATED_WITH	acute myeloid leukemia
Interferon alpha/beta receptor 1	ASSOCIATED_WITH	ovarian cancer
Interferon alpha/beta receptor 1	ASSOCIATED_WITH	immunodeficiency 106, susceptibility to viral infections
