head_name	relation	tail_name
Cbp/p300-interacting transactivator 1	EXPRESSION_CHANGED_IN	trophoblastic neoplasm
Cbp/p300-interacting transactivator 1	EXPRESSION_CHANGED_IN	adenoma
Cbp/p300-interacting transactivator 1	EXPRESSION_CHANGED_IN	breast carcinoma
Cbp/p300-interacting transactivator 1	EXPRESSION_CHANGED_IN	cancer
Cbp/p300-interacting transactivator 1	EXPRESSION_CHANGED_IN	thyroid gland papillary carcinoma
Cbp/p300-interacting transactivator 1	EXPRESSION_CHANGED_IN	breast cancer
Cbp/p300-interacting transactivator 1	EXPRESSION_CHANGED_IN	microphthalmia
Cbp/p300-interacting transactivator 1	EXPRESSION_CHANGED_IN	colorectal carcinoma
Cbp/p300-interacting transactivator 2	EXPRESSION_CHANGED_IN	liver cancer
Cbp/p300-interacting transactivator 2	EXPRESSION_CHANGED_IN	metastatic prostate carcinoma
Cbp/p300-interacting transactivator 2	EXPRESSION_CHANGED_IN	ulcerative colitis
Cbp/p300-interacting transactivator 2	EXPRESSION_CHANGED_IN	type 2 diabetes mellitus
Cbp/p300-interacting transactivator 2	EXPRESSION_CHANGED_IN	chronic kidney disease
Cbp/p300-interacting transactivator 2	EXPRESSION_CHANGED_IN	adrenal cortex carcinoma
Cbp/p300-interacting transactivator 2	EXPRESSION_CHANGED_IN	hepatocellular carcinoma
Cbp/p300-interacting transactivator 2	EXPRESSION_CHANGED_IN	46,XY sex reversal 2
Cbp/p300-interacting transactivator 2	EXPRESSION_CHANGED_IN	carcinoma of liver and intrahepatic biliary tract
Cbp/p300-interacting transactivator 4	EXPRESSION_CHANGED_IN	oral cavity squamous cell carcinoma
Cbp/p300-interacting transactivator 4	EXPRESSION_CHANGED_IN	neoplasm
Cbp/p300-interacting transactivator 4	EXPRESSION_CHANGED_IN	breast cancer
Cbp/p300-interacting transactivator 4	EXPRESSION_CHANGED_IN	glioma
Cbp/p300-interacting transactivator 4	EXPRESSION_CHANGED_IN	breast neoplasm
Cbp/p300-interacting transactivator 4	EXPRESSION_CHANGED_IN	lung neoplasm
Cip1-interacting zinc finger protein	EXPRESSION_CHANGED_IN	small cell lung carcinoma
Cip1-interacting zinc finger protein	EXPRESSION_CHANGED_IN	carcinoma
Cip1-interacting zinc finger protein	EXPRESSION_CHANGED_IN	prostate carcinoma
Cip1-interacting zinc finger protein	EXPRESSION_CHANGED_IN	rheumatoid arthritis
(E2-independent) E3 ubiquitin-conjugating enzyme FATS	EXPRESSION_CHANGED_IN	breast carcinoma
(E2-independent) E3 ubiquitin-conjugating enzyme FATS	EXPRESSION_CHANGED_IN	non-small cell lung carcinoma
(E2-independent) E3 ubiquitin-conjugating enzyme FATS	EXPRESSION_CHANGED_IN	breast cancer
Inner centromere protein	EXPRESSION_CHANGED_IN	gastric cancer
Inner centromere protein	EXPRESSION_CHANGED_IN	gastric carcinoma
Inner centromere protein	EXPRESSION_CHANGED_IN	colorectal carcinoma
Inhibitor of growth protein 1	EXPRESSION_CHANGED_IN	adenocarcinoma
Inhibitor of growth protein 1	EXPRESSION_CHANGED_IN	asthma
Inhibitor of growth protein 1	EXPRESSION_CHANGED_IN	breast carcinoma
Inhibitor of growth protein 1	EXPRESSION_CHANGED_IN	cancer
