head_name	relation	tail_name
Autism susceptibility gene 2 protein	HAS_FUSION_GENE_IN	Burkitt lymphoma
BCL-6 corepressor	HAS_FUSION_GENE_IN	acute promyelocytic leukemia
ATP-dependent RNA helicase DDX3X	HAS_FUSION_GENE_IN	T-cell acute lymphoblastic leukemia
Transcription factor ETV6	HAS_FUSION_GENE_IN	Burkitt lymphoma
Hepatic leukemia factor	HAS_FUSION_GENE_IN	Burkitt lymphoma
Heterogeneous nuclear ribonucleoprotein H	HAS_FUSION_GENE_IN	T-cell acute lymphoblastic leukemia
Pre-mRNA 3'-end-processing factor FIP1	HAS_FUSION_GENE_IN	acute promyelocytic leukemia
Golgin subfamily A member 5	HAS_FUSION_GENE_IN	thyroid gland papillary carcinoma
SOSS complex subunit B2	HAS_FUSION_GENE_IN	acute promyelocytic leukemia
Sal-like protein 2	HAS_FUSION_GENE_IN	T-cell acute lymphoblastic leukemia
SH3 and PX domain-containing protein 2A	HAS_FUSION_GENE_IN	malignant peripheral nerve sheath tumor
Transforming acidic coiled-coil-containing protein 1	HAS_FUSION_GENE_IN	gliosarcoma
Septin-14	HAS_FUSION_GENE_IN	gliosarcoma
Protein SET	HAS_FUSION_GENE_IN	T-cell acute lymphoblastic leukemia
