head_name	relation	tail_name
Cbp/p300-interacting transactivator 4	MODIFIED_IN	breast lobular carcinoma
Cbp/p300-interacting transactivator 4	MODIFIED_IN	breast carcinoma
Inhibin beta B chain	MODIFIED_IN	adenoma
14-3-3 protein sigma	MODIFIED_IN	lung carcinoma
14-3-3 protein sigma	MODIFIED_IN	lung cancer
14-3-3 protein sigma	MODIFIED_IN	corpus callosum, agenesis of
14-3-3 protein sigma	MODIFIED_IN	ovarian neoplasm
14-3-3 protein sigma	MODIFIED_IN	breast neoplasm
Ryanodine receptor 2	MODIFIED_IN	head and neck carcinoma
Polycystin-1	MODIFIED_IN	gastric cancer
Polycystin-1	MODIFIED_IN	gastric carcinoma
Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform	MODIFIED_IN	ductal breast carcinoma in situ
Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform	MODIFIED_IN	colorectal carcinoma
Neuroendocrine protein 7B2	MODIFIED_IN	astrocytoma (excluding glioblastoma)
Leucine-rich alpha-2-glycoprotein	MODIFIED_IN	neuroblastoma
Arylacetamide deacetylase	MODIFIED_IN	breast carcinoma
Arylacetamide deacetylase	MODIFIED_IN	bone osteosarcoma
Arylacetamide deacetylase	MODIFIED_IN	osteosarcoma
Arylacetamide deacetylase	MODIFIED_IN	breast cancer
Arylacetamide deacetylase	MODIFIED_IN	cholangiocarcinoma
5'-AMP-activated protein kinase subunit gamma-2	MODIFIED_IN	chronic obstructive pulmonary disease
5'-AMP-activated protein kinase subunit gamma-2	MODIFIED_IN	obesity disorder
Protein ABHD8	MODIFIED_IN	ovarian carcinoma
ABI gene family member 3	MODIFIED_IN	thyroid gland follicular carcinoma
ABI gene family member 3	MODIFIED_IN	thyroid gland carcinoma
Rho guanine nucleotide exchange factor 25	MODIFIED_IN	rhabdomyosarcoma
Acetyl-CoA carboxylase 1	MODIFIED_IN	lung carcinoma
Acetyl-CoA carboxylase 1	MODIFIED_IN	lung cancer
Acetyl-CoA carboxylase 1	MODIFIED_IN	aplasia cutis congenita
Acetyl-CoA carboxylase 1	MODIFIED_IN	corpus callosum, agenesis of
Short-chain specific acyl-CoA dehydrogenase, mitochondrial	MODIFIED_IN	neoplasm
Neuronal acetylcholine receptor subunit alpha-3	MODIFIED_IN	gastric cancer
Neuronal acetylcholine receptor subunit alpha-3	MODIFIED_IN	gastric carcinoma
Apoptotic chromatin condensation inducer in the nucleus	MODIFIED_IN	adenocarcinoma
Apoptotic chromatin condensation inducer in the nucleus	MODIFIED_IN	minimally invasive lung adenocarcinoma
Apoptotic chromatin condensation inducer in the nucleus	MODIFIED_IN	lung adenocarcinoma
Acyl-coenzyme A synthetase ACSM3, mitochondrial	MODIFIED_IN	neoplasm
Activating signal cointegrator 1 complex subunit 1	MODIFIED_IN	spinal muscular atrophy
