head_name	relation	tail_name
Inhibitor of growth protein 3	THERAPEUTIC_TARGET_IN	liver cancer
Inhibitor of growth protein 4	THERAPEUTIC_TARGET_IN	colorectal neoplasm
Phosphatidylinositol polyphosphate 5-phosphatase type IV	THERAPEUTIC_TARGET_IN	obesity disorder
Small nuclear ribonucleoprotein E	THERAPEUTIC_TARGET_IN	lupus nephritis
Alpha-1-acid glycoprotein 1	THERAPEUTIC_TARGET_IN	liver failure
Alpha-2-macroglobulin	THERAPEUTIC_TARGET_IN	toxic shock syndrome
Alpha-1-antichymotrypsin	THERAPEUTIC_TARGET_IN	retinal disorder
5'-AMP-activated protein kinase catalytic subunit alpha-2	THERAPEUTIC_TARGET_IN	stroke disorder
Actin-related protein 2/3 complex subunit 3	THERAPEUTIC_TARGET_IN	Parkinson disease
Angiotensin-converting enzyme	THERAPEUTIC_TARGET_IN	acute kidney injury
Angiotensin-converting enzyme	THERAPEUTIC_TARGET_IN	hypotensive disorder
Protein AF-9	THERAPEUTIC_TARGET_IN	diabetic kidney disease
Inactive caspase-12	THERAPEUTIC_TARGET_IN	Alzheimer disease
Inactive caspase-12	THERAPEUTIC_TARGET_IN	chronic obstructive pulmonary disease
Inactive caspase-12	THERAPEUTIC_TARGET_IN	congestive heart failure
Inactive caspase-12	THERAPEUTIC_TARGET_IN	heart failure
Inactive caspase-12	THERAPEUTIC_TARGET_IN	intracerebral hemorrhage
Inactive caspase-12	THERAPEUTIC_TARGET_IN	acute liver failure
Copper transport protein ATOX1	THERAPEUTIC_TARGET_IN	hypertensive disorder
Potassium-transporting ATPase subunit beta	THERAPEUTIC_TARGET_IN	obesity disorder
ATP synthase peripheral stalk subunit F6, mitochondrial	THERAPEUTIC_TARGET_IN	pulmonary hypertension
ATP synthase F(1) complex subunit alpha, mitochondrial	THERAPEUTIC_TARGET_IN	pulmonary hypertension
ATP synthase F(1) complex subunit beta, mitochondrial	THERAPEUTIC_TARGET_IN	cardiomyopathy
ATP synthase F(1) complex subunit beta, mitochondrial	THERAPEUTIC_TARGET_IN	idiopathic cardiomyopathy
ATP synthase F(1) complex subunit delta, mitochondrial	THERAPEUTIC_TARGET_IN	colitis
ATP synthase F(1) complex subunit delta, mitochondrial	THERAPEUTIC_TARGET_IN	obesity disorder
ATP synthase peripheral stalk subunit OSCP, mitochondrial	THERAPEUTIC_TARGET_IN	hypothyroidism
Ataxin-1-like	THERAPEUTIC_TARGET_IN	spinocerebellar ataxia type 6
Ataxin-1-like	THERAPEUTIC_TARGET_IN	spinocerebellar ataxia type 2
Ataxin-1-like	THERAPEUTIC_TARGET_IN	spinocerebellar ataxia type 5
Ataxin-1-like	THERAPEUTIC_TARGET_IN	spinocerebellar ataxia 7
Antizyme inhibitor 1	THERAPEUTIC_TARGET_IN	diabetic kidney disease
Apoptosis-inducing factor 1, mitochondrial	THERAPEUTIC_TARGET_IN	retinitis pigmentosa 1
Apoptosis-inducing factor 1, mitochondrial	THERAPEUTIC_TARGET_IN	retinitis pigmentosa
Cytosolic 10-formyltetrahydrofolate dehydrogenase	THERAPEUTIC_TARGET_IN	cholestasis
FAD-linked sulfhydryl oxidase ALR	THERAPEUTIC_TARGET_IN	acute kidney injury
Bcl2-associated agonist of cell death	THERAPEUTIC_TARGET_IN	gastric ulcer
Bcl2-associated agonist of cell death	THERAPEUTIC_TARGET_IN	hypertensive disorder
Bcl2-associated agonist of cell death	THERAPEUTIC_TARGET_IN	acute kidney injury
Bcl2-associated agonist of cell death	THERAPEUTIC_TARGET_IN	erectile dysfunction
Bcl2-associated agonist of cell death	THERAPEUTIC_TARGET_IN	diabetic neuropathy
Protein AMBP	THERAPEUTIC_TARGET_IN	acute kidney injury
Protein AMBP	THERAPEUTIC_TARGET_IN	transitional cell carcinoma
Protein amnionless	THERAPEUTIC_TARGET_IN	acute kidney injury
Natriuretic peptides A	THERAPEUTIC_TARGET_IN	skin cancer
Natriuretic peptides A	THERAPEUTIC_TARGET_IN	adenocarcinoma
Natriuretic peptides A	THERAPEUTIC_TARGET_IN	melanoma
Natriuretic peptides A	THERAPEUTIC_TARGET_IN	skin neoplasm
Natriuretic peptides A	THERAPEUTIC_TARGET_IN	prostate cancer
Natriuretic peptides A	THERAPEUTIC_TARGET_IN	lung neoplasm
Natriuretic peptides A	THERAPEUTIC_TARGET_IN	prostate neoplasm
Apoptotic protease-activating factor 1	THERAPEUTIC_TARGET_IN	malignant colon neoplasm
BCL2/adenovirus E1B 19 kDa protein-interacting protein 3	THERAPEUTIC_TARGET_IN	subarachnoid hemorrhage
C-X-C motif chemokine 14	THERAPEUTIC_TARGET_IN	lung neoplasm
Collagen alpha-1(I) chain	THERAPEUTIC_TARGET_IN	chronic pancreatitis
Collagen alpha-1(I) chain	THERAPEUTIC_TARGET_IN	myocardial infarction
Collagen alpha-1(I) chain	THERAPEUTIC_TARGET_IN	pulmonary hypertension
Collagen alpha-1(I) chain	THERAPEUTIC_TARGET_IN	primary biliary cholangitis
Collagen alpha-1(II) chain	THERAPEUTIC_TARGET_IN	hypothyroidism
Collagen alpha-1(IV) chain	THERAPEUTIC_TARGET_IN	pulmonary hypertension
Complement component C9	THERAPEUTIC_TARGET_IN	polycystic kidney disease
Cofilin-1	THERAPEUTIC_TARGET_IN	myocardial infarction
Cofilin-1	THERAPEUTIC_TARGET_IN	neuralgia
Cofilin-1	THERAPEUTIC_TARGET_IN	erectile dysfunction
Cofilin-1	THERAPEUTIC_TARGET_IN	nephrotic syndrome
Lariat debranching enzyme	THERAPEUTIC_TARGET_IN	amyotrophic lateral sclerosis-parkinsonism-dementia complex
Eukaryotic translation initiation factor 3 subunit E	THERAPEUTIC_TARGET_IN	intermittent vascular claudication
DNA damage-inducible transcript 3 protein	THERAPEUTIC_TARGET_IN	chronic obstructive pulmonary disease
DNA damage-inducible transcript 3 protein	THERAPEUTIC_TARGET_IN	ocular hypertension
Ceruloplasmin	THERAPEUTIC_TARGET_IN	neurodegenerative disease
Neutrophil defensin 3	THERAPEUTIC_TARGET_IN	acute promyelocytic leukemia
Deubiquitinase DESI2	THERAPEUTIC_TARGET_IN	ovarian cancer
Deubiquitinase DESI2	THERAPEUTIC_TARGET_IN	ovarian neoplasm
DnaJ homolog subfamily C member 10	THERAPEUTIC_TARGET_IN	cancer
DnaJ homolog subfamily C member 10	THERAPEUTIC_TARGET_IN	neoplasm
DnaJ homolog subfamily C member 10	THERAPEUTIC_TARGET_IN	benign neoplasm
Endothelial protein C receptor	THERAPEUTIC_TARGET_IN	acute kidney injury
Dynamin-1-like protein	THERAPEUTIC_TARGET_IN	chronic renal failure syndrome
Deoxyribonuclease gamma	THERAPEUTIC_TARGET_IN	lung cancer
Deoxyribonuclease gamma	THERAPEUTIC_TARGET_IN	lung neoplasm
Docking protein 1	THERAPEUTIC_TARGET_IN	ovarian cancer
Docking protein 1	THERAPEUTIC_TARGET_IN	ovarian neoplasm
Histone H2AX	THERAPEUTIC_TARGET_IN	hypertensive disorder
Histone H2AX	THERAPEUTIC_TARGET_IN	liver and intrahepatic bile duct neoplasm
Growth arrest and DNA damage-inducible protein GADD45 alpha	THERAPEUTIC_TARGET_IN	pancreatic neoplasm
Cullin-5	THERAPEUTIC_TARGET_IN	breast neoplasm
Transcription factor HES-1	THERAPEUTIC_TARGET_IN	epilepsy
Hairy/enhancer-of-split related with YRPW motif protein 2	THERAPEUTIC_TARGET_IN	hypertrophic cardiomyopathy
Drebrin	THERAPEUTIC_TARGET_IN	Parkinson disease
Dynein light chain 1, cytoplasmic	THERAPEUTIC_TARGET_IN	hypertensive disorder
Dynein light chain 1, cytoplasmic	THERAPEUTIC_TARGET_IN	erectile dysfunction
Eosinophil cationic protein	THERAPEUTIC_TARGET_IN	gram-negative bacterial infections
Eosinophil cationic protein	THERAPEUTIC_TARGET_IN	gram-positive bacterial infections
Endothelin-3	THERAPEUTIC_TARGET_IN	hypotensive disorder
Integrin alpha-7	THERAPEUTIC_TARGET_IN	idiopathic cardiomyopathy
FAS-associated death domain protein	THERAPEUTIC_TARGET_IN	hypertensive disorder
Heterogeneous nuclear ribonucleoprotein Q	THERAPEUTIC_TARGET_IN	leukemia
Heat shock 70 kDa protein 1A	THERAPEUTIC_TARGET_IN	Parkinson disease
Transcription factor JunD	THERAPEUTIC_TARGET_IN	cocaine dependence
Leukocyte cell-derived chemotaxin-2	THERAPEUTIC_TARGET_IN	lung neoplasm
Mitochondrial proton/calcium exchanger protein	THERAPEUTIC_TARGET_IN	hepatocellular carcinoma
Guanine nucleotide-binding protein G(i) subunit alpha-2	THERAPEUTIC_TARGET_IN	cardiac rhythm disease
Mitofusin-1	THERAPEUTIC_TARGET_IN	adult acute respiratory distress syndrome
Mitofusin-1	THERAPEUTIC_TARGET_IN	myocardial ischemia
Mitofusin-2	THERAPEUTIC_TARGET_IN	carotid stenosis
Mitofusin-2	THERAPEUTIC_TARGET_IN	diabetic kidney disease
Mitofusin-2	THERAPEUTIC_TARGET_IN	myocardial infarction
Adenylate kinase isoenzyme 1	THERAPEUTIC_TARGET_IN	myocardial infarction
Kallistatin	THERAPEUTIC_TARGET_IN	hepatocellular carcinoma
Leucine-rich glioma-inactivated protein 1	THERAPEUTIC_TARGET_IN	epilepsy with generalized tonic-clonic seizures
Fibrinogen alpha chain	THERAPEUTIC_TARGET_IN	thrombocytopenia
Fibrinogen alpha chain	THERAPEUTIC_TARGET_IN	asthma
Fibrinogen alpha chain	THERAPEUTIC_TARGET_IN	acute liver failure
Mitochondrial fission 1 protein	THERAPEUTIC_TARGET_IN	chronic renal failure syndrome
FK506-binding protein-like	THERAPEUTIC_TARGET_IN	breast neoplasm
Potassium channel subfamily K member 1	THERAPEUTIC_TARGET_IN	hyperplasia
G protein-coupled receptor kinase 6	THERAPEUTIC_TARGET_IN	diabetic kidney disease
Interleukin-10 receptor subunit alpha	THERAPEUTIC_TARGET_IN	visceral leishmaniasis
Calpastatin	THERAPEUTIC_TARGET_IN	acute liver failure
Microtubule-associated protein 1 light chain 3 alpha	THERAPEUTIC_TARGET_IN	type 2 diabetes mellitus
Dual specificity mitogen-activated protein kinase kinase 3	THERAPEUTIC_TARGET_IN	retinal disorder
Dual specificity mitogen-activated protein kinase kinase 6	THERAPEUTIC_TARGET_IN	allergic disease
Dual specificity mitogen-activated protein kinase kinase 6	THERAPEUTIC_TARGET_IN	colonic neoplasm
Interferon alpha-1/13	THERAPEUTIC_TARGET_IN	adenocarcinoma
Interferon alpha-1/13	THERAPEUTIC_TARGET_IN	colorectal neoplasm
Interferon alpha-1/13	THERAPEUTIC_TARGET_IN	pancreatic neoplasm
Myosin-4	THERAPEUTIC_TARGET_IN	sciatic neuropathy
Myoblast determination protein 1	THERAPEUTIC_TARGET_IN	congestive heart failure
Myoblast determination protein 1	THERAPEUTIC_TARGET_IN	heart failure
Myelin protein P0	THERAPEUTIC_TARGET_IN	diabetic neuropathy
Myelin protein P0	THERAPEUTIC_TARGET_IN	sciatic neuropathy
Interleukin-3	THERAPEUTIC_TARGET_IN	thrombocytopenia
Interleukin-3	THERAPEUTIC_TARGET_IN	anemia
DNA replication licensing factor MCM2	THERAPEUTIC_TARGET_IN	colonic neoplasm
Nucleoside diphosphate kinase B	THERAPEUTIC_TARGET_IN	ovarian cancer
Nucleoside diphosphate kinase B	THERAPEUTIC_TARGET_IN	ovarian neoplasm
Nectin-2	THERAPEUTIC_TARGET_IN	breast carcinoma
Nectin-2	THERAPEUTIC_TARGET_IN	breast cancer
Nectin-2	THERAPEUTIC_TARGET_IN	breast neoplasm
Antileukoproteinase	THERAPEUTIC_TARGET_IN	myocardial infarction
Mothers against decapentaplegic homolog 5	THERAPEUTIC_TARGET_IN	type 2 diabetes mellitus
NF-kappa-B essential modulator	THERAPEUTIC_TARGET_IN	irritable bowel syndrome
Oxytocin-neurophysin 1	THERAPEUTIC_TARGET_IN	carcinoma
Oxytocin-neurophysin 1	THERAPEUTIC_TARGET_IN	colonic neoplasm
Oxytocin-neurophysin 1	THERAPEUTIC_TARGET_IN	undifferentiated carcinoma
Oxytocin-neurophysin 1	THERAPEUTIC_TARGET_IN	anxiety disorder
Oxytocin-neurophysin 1	THERAPEUTIC_TARGET_IN	malignant colon neoplasm
Neurofilament heavy polypeptide	THERAPEUTIC_TARGET_IN	hypothyroidism
Neurofilament heavy polypeptide	THERAPEUTIC_TARGET_IN	sciatic neuropathy
Neurofilament light polypeptide	THERAPEUTIC_TARGET_IN	hypothyroidism
Neurofilament medium polypeptide	THERAPEUTIC_TARGET_IN	hypothyroidism
Nucleolar protein 3	THERAPEUTIC_TARGET_IN	mitochondrial disease
NPC intracellular cholesterol transporter 1	THERAPEUTIC_TARGET_IN	atherosclerosis
Sphingomyelin phosphodiesterase 3	THERAPEUTIC_TARGET_IN	pulmonary hypertension
Nuclear transport factor 2	THERAPEUTIC_TARGET_IN	diabetic retinopathy
Adiponectin receptor protein 1	THERAPEUTIC_TARGET_IN	fetal growth restriction
Adiponectin receptor protein 2	THERAPEUTIC_TARGET_IN	fetal growth restriction
Prepronociceptin	THERAPEUTIC_TARGET_IN	substance withdrawal syndrome
Ras association domain-containing protein 1	THERAPEUTIC_TARGET_IN	hypertrophic cardiomyopathy
Retinoblastoma-like protein 2	THERAPEUTIC_TARGET_IN	ovarian neoplasm
Protein disulfide-isomerase A3	THERAPEUTIC_TARGET_IN	benign neoplasm
Proenkephalin-B	THERAPEUTIC_TARGET_IN	respiratory failure
Proenkephalin-A	THERAPEUTIC_TARGET_IN	nervous system disorder
Proenkephalin-A	THERAPEUTIC_TARGET_IN	osteoarthritis, knee
Proenkephalin-A	THERAPEUTIC_TARGET_IN	myocardial ischemia
Protein phosphatase 1 regulatory subunit 15A	THERAPEUTIC_TARGET_IN	stroke disorder
PRA1 family protein 3	THERAPEUTIC_TARGET_IN	substance withdrawal syndrome
Peroxiredoxin-1	THERAPEUTIC_TARGET_IN	schistosomiasis
Peroxiredoxin-2	THERAPEUTIC_TARGET_IN	myeloid leukemia
Prickle-like protein 1	THERAPEUTIC_TARGET_IN	temporal lobe epilepsy
E3 ubiquitin-protein ligase parkin	THERAPEUTIC_TARGET_IN	subarachnoid hemorrhage
Lithostathine-1-alpha	THERAPEUTIC_TARGET_IN	hereditary diffuse gastric adenocarcinoma
Relaxin-3	THERAPEUTIC_TARGET_IN	hyperplasia
Relaxin-3	THERAPEUTIC_TARGET_IN	myocardial ischemia
Aggrecan core protein	THERAPEUTIC_TARGET_IN	stroke disorder
Survival motor neuron protein	THERAPEUTIC_TARGET_IN	scapuloperoneal spinal muscular atrophy, autosomal dominant
Survival motor neuron protein	THERAPEUTIC_TARGET_IN	bulbospinal muscular atrophy
Survival motor neuron protein	THERAPEUTIC_TARGET_IN	distal hereditary motor neuropathy
Regulator of G-protein signaling 3	THERAPEUTIC_TARGET_IN	urinary bladder disorder
Regulator of G-protein signaling 9	THERAPEUTIC_TARGET_IN	parkinsonian disorder
