row_index	source_line	entity_type	entity	norm_entity	standard_name	description_source	description_words
0	8043	DISEASE	15q11q13 microduplication syndrome	15q11q13 microduplication syndrome	15q11q13 microduplication syndrome	MONDO	20
1	6831	DISEASE	5q-syndrome	5q-syndrome	myelodysplastic syndrome associated with isolated del(5q)	modified_disease	20
2	3337	DISEASE	abdominal abscess	abdominal abscess	Abdominal Abscess	standard	22
3	3338	DISEASE	abdominal aortic aneurysm	abdominal aortic aneurysm	Aortic Aneurysm, Abdominal	standard	33
4	3339	DISEASE	abdominal colic	abdominal colic	Abdominal colic	standard	22
5	3340	DISEASE	abdominal infection	abdominal infection	Abdominal Infection	standard	21
6	3341	DISEASE	abdominal pain	abdominal pain	Abdominal Pain	standard	10
7	8935	DISEASE	abetalipoproteinemia	abetalipoproteinemia	abetalipoproteinemia	MONDO	38
8	3342	DISEASE	abnormal bleeding	abnormal bleeding	hemorrhage / abnormal bleeding	corrected_overlay	12
9	3343	DISEASE	abnormal left ventricular function	abnormal left ventricular function	Ventricular Dysfunction, Left	standard	46
10	3344	DISEASE	abnormal uterine bleeding	abnormal uterine bleeding	abnormal uterine bleeding	corrected_overlay	20
11	3345	DISEASE	abnormality of acid-base homeostasis	abnormality of acid-base homeostasis	Abnormality of acid-base homeostasis	standard	22
12	3346	DISEASE	abnormality of extrapyramidal motor function	abnormality of extrapyramidal motor function	extrapyramidal motor dysfunction	corrected_overlay	17
13	3347	DISEASE	aborting pregnancy	aborting pregnancy	Induced Abortion	corrected_overlay	11
14	8915	DISEASE	ABri amyloidosis	abri amyloidosis	ABri amyloidosis	MONDO	43
15	3348	DISEASE	abscess	abscess	Abscess	standard	16
16	3349	DISEASE	absence epilepsy	absence epilepsy	Epilepsy, Absence	standard	84
17	6383	DISEASE	absssi	absssi	acute bacterial skin and skin structure infection	corrected_overlay	21
18	3350	DISEASE	academic research council subacute stent thrombosis	academic research council subacute stent thrombosis	Academic Research Council Subacute Stent Thrombosis	standard	44
19	3351	DISEASE	acanthamoeba keratitis	acanthamoeba keratitis	Acanthamoeba Keratitis	standard	16
20	3352	DISEASE	accommodative esotropia	accommodative esotropia	Esotropia	standard	43
21	9179	DISEASE	aceruloplasminemia	aceruloplasminemia	aceruloplasminemia	MONDO	20
22	3353	DISEASE	acetaminophen overdose	acetaminophen overdose	Overdose	standard	11
23	8937	DISEASE	acheiropody	acheiropody	acheiropody	MONDO	83
24	3354	DISEASE	achondroplasia	achondroplasia	Achondroplasia	standard	55
25	3355	DISEASE	acid sphingomyelinase deficiency	acid sphingomyelinase deficiency	Niemann-Pick Diseases	standard	56
26	6384	DISEASE	acid sphingomyelinase deficiency (asmd)	acid sphingomyelinase deficiency (asmd)	acid sphingomyelinase deficiency	alias_disease	21
27	3356	DISEASE	acidosis	acidosis	Acidosis	standard	29
28	3357	DISEASE	acinetobacter	acinetobacter	Acinetobacter	standard	18
29	3358	DISEASE	acinetobacter infectious disease	acinetobacter infectious disease	Acinetobacter infectious disease	standard	7
30	3359	DISEASE	acne	acne	Acne Vulgaris	standard	38
31	3360	DISEASE	acne inversa	acne inversa	Hidradenitis Suppurativa	standard	60
32	3361	DISEASE	acne rosacea	acne rosacea	Rosacea	standard	72
33	3362	DISEASE	acne urticata	acne urticata	acne	standard	19
34	3363	DISEASE	acne vulgaris	acne vulgaris	Acne Vulgaris	standard	38
35	3364	DISEASE	acohol withdrawal	acohol withdrawal	Alcohol Withdrawal Syndrome	corrected_overlay	16
36	3365	DISEASE	acquired aplastic anemia	acquired aplastic anemia	acquired aplastic anemia	standard	14
37	3366	DISEASE	acquired cdi	acquired cdi	acquired central diabetes insipidus	standard	30
38	3367	DISEASE	acquired factor xiii deficiency	acquired factor xiii deficiency	acquired factor XIII deficiency	standard	13
39	3368	DISEASE	acquired hemophilia	acquired hemophilia	acquired hemophilia	standard	80
40	3369	DISEASE	acquired hemophilia a	acquired hemophilia a	acquired hemophilia A	standard	41
41	6385	DISEASE	acquired immune deficiency syndrome (aids)	acquired immune deficiency syndrome (aids)	acquired immunodeficiency syndrome	alias_disease	84
42	3370	DISEASE	acquired immunodeficiency	acquired immunodeficiency	Acquired Immunodeficiency Syndrome	standard	89
43	3371	DISEASE	acquired methemoglobinemia	acquired methemoglobinemia	drug-induced methemoglobinemia	standard	12
44	3372	DISEASE	acquired polycythemia vera	acquired polycythemia vera	acquired polycythemia vera	standard	34
45	3373	DISEASE	acquired prothrombin deficiency	acquired prothrombin deficiency	acquired prothrombin deficiency	standard	14
46	3374	DISEASE	acquired testicular failure	acquired testicular failure	acquired testicular failure	standard	11
47	3375	DISEASE	acquired thrombocytopenia	acquired thrombocytopenia	acquired thrombocytopenia	standard	13
48	3376	DISEASE	acquired thrombotic thrombocytopenic purpura	acquired thrombotic thrombocytopenic purpura	acquired thrombotic thrombocytopenic purpura	standard	31
49	9256	DISEASE	acral peeling skin syndrome	acral peeling skin syndrome	acral peeling skin syndrome	MONDO	26
50	8939	DISEASE	acrocallosal syndrome	acrocallosal syndrome	acrocallosal syndrome	MONDO	24
51	8503	DISEASE	acrodermatitis enteropathica	acrodermatitis enteropathica	Hereditary acrodermatitis enteropathica	MedGen	80
52	8432	DISEASE	acrokeratosis verruciformis	acrokeratosis verruciformis	Acrokeratosis verruciformis of Hopf	MedGen	24
53	7938	DISEASE	acromegaloid changes, cutis verticis gyrata, and corneal leukoma	acromegaloid changes, cutis verticis gyrata, and corneal leukoma	acromegaloid changes, cutis verticis gyrata, and corneal leukoma	MONDO	35
54	3377	DISEASE	acromegaly	acromegaly	Acromegaly	standard	47
55	7712	DISEASE	acroosteolysis	acroosteolysis	acroosteolysis	MONDO	11
56	7713	DISEASE	acroosteolysis dominant type	acroosteolysis dominant type	acroosteolysis dominant type	MONDO	73
57	3378	DISEASE	actinic keratosis	actinic keratosis	Keratosis, Actinic	standard	32
58	3379	DISEASE	actinomycosis	actinomycosis	Actinomycosis	standard	7
59	3380	DISEASE	activated pi3k-delta syndrome	activated pi3k-delta syndrome	immunodeficiency 14	standard	37
60	3381	DISEASE	active duodenal ulcer	active duodenal ulcer	active duodenal ulcer	corrected_overlay	25
61	3382	DISEASE	active enthesitis-related arthritis	active enthesitis-related arthritis	enthesitis-related juvenile idiopathic arthritis	standard	148
62	3383	DISEASE	active lupus nephritis	active lupus nephritis	lupus nephritis	standard	8
63	3384	DISEASE	active psoriatic arthritis	active psoriatic arthritis	active psoriatic arthritis	corrected_overlay	23
64	3385	DISEASE	active rheumatoid arthritis	active rheumatoid arthritis	rheumatoid arthritis	standard	41
65	6832	DISEASE	active secondary progressive multiple sclerosis	active secondary progressive multiple sclerosis	Multiple Sclerosis	modified_disease	24
66	3386	DISEASE	active tuberculosis	active tuberculosis	Tuberculosis Disease	standard	32
67	6833	DISEASE	acute and chronic pain	acute and chronic pain	Chronic Pain	modified_disease	18
68	6834	DISEASE	acute and chronic respiratory tract infections	acute and chronic respiratory tract infections	Respiratory Tract Infections	corrected_overlay	23
69	6835	DISEASE	acute angle-closure glaucoma	acute angle-closure glaucoma	acute closed-angle glaucoma	modified_disease	12
70	6836	DISEASE	acute asthma	acute asthma	acute asthma	modified_disease	36
71	6837	DISEASE	acute asthma attack	acute asthma attack	acute asthma	modified_disease	37
72	6838	DISEASE	acute attacks of hereditary angioedema (hae) due to c1 esterase inhibitor deficiency	acute attacks of hereditary angioedema (hae) due to c1 esterase inhibitor deficiency	Angioedema	modified_disease	25
73	6839	DISEASE	acute bacterial exacerbation of chronic bronchitis	acute bacterial exacerbation of chronic bronchitis	chronic bronchitis	modified_disease	41
74	6840	DISEASE	acute bacterial otitis media	acute bacterial otitis media	purulent acute otitis media	modified_disease	14
75	6841	DISEASE	acute bacterial simple cystitis	acute bacterial simple cystitis	acute cystitis	modified_disease	14
76	6842	DISEASE	acute bacterial sinusitis	acute bacterial sinusitis	Acute bacterial sinusitis	manual_final7_review	35
77	6843	DISEASE	acute bacterial skin and skin structure infection	acute bacterial skin and skin structure infection	Skin Diseases, Bacterial	modified_disease	13
78	6844	DISEASE	acute bronchial asthma	acute bronchial asthma	acute asthma	modified_disease	37
79	6845	DISEASE	acute bronchitis	acute bronchitis	bronchitis	modified_disease	15
80	6846	DISEASE	acute bronchospasm	acute bronchospasm	bronchospasm	modified_disease	34
81	6847	DISEASE	acute bursitis	acute bursitis	bursitis	modified_disease	30
82	6848	DISEASE	acute cardiac ischemic events	acute cardiac ischemic events	Acute cardiac ischemic events	manual_final7_review	27
83	6849	DISEASE	acute chest syndrome	acute chest syndrome	Acute Chest Syndrome	modified_disease	40
84	6850	DISEASE	acute cholecystitis	acute cholecystitis	Cholecystitis, Acute	modified_disease	12
85	6851	DISEASE	acute closed-angle glaucoma	acute closed-angle glaucoma	acute closed-angle glaucoma	modified_disease	12
86	6852	DISEASE	acute coccidioidomycosis	acute coccidioidomycosis	Coccidioidomycosis	modified_disease	20
87	6853	DISEASE	acute congestive heart failure	acute congestive heart failure	Heart Failure	modified_disease	30
88	6854	DISEASE	acute coronary syndrome	acute coronary syndrome	Acute Coronary Syndrome	modified_disease	28
89	6855	DISEASE	acute cystitis	acute cystitis	acute cystitis	modified_disease	12
90	6856	DISEASE	acute decompensated heart failure	acute decompensated heart failure	Heart Failure	modified_disease	30
91	6857	DISEASE	acute diarrhea	acute diarrhea	acute diarrhea	modified_disease	10
92	6858	DISEASE	acute disseminated candidiasis	acute disseminated candidiasis	disseminated candidiasis	modified_disease	38
93	6859	DISEASE	acute duodenal ulcer with hemorrhage	acute duodenal ulcer with hemorrhage	Acute Duodenal Ulcer with Hemorrhage	modified_disease	17
94	6860	DISEASE	acute enterocolitis	acute enterocolitis	Enterocolitis, Pseudomembranous	modified_disease	35
95	6861	DISEASE	acute erythroid leukemia	acute erythroid leukemia	acute erythroid leukemia	modified_disease	18
96	6862	DISEASE	acute evolving transmural myocardial infarction	acute evolving transmural myocardial infarction	acute myocardial infarction	modified_disease	25
97	6863	DISEASE	acute exacerbation of chronic bronchitis	acute exacerbation of chronic bronchitis	chronic bronchitis	modified_disease	40
98	6864	DISEASE	acute exacerbation of chronic obstructive pulmonary disease	acute exacerbation of chronic obstructive pulmonary disease	Acute exacerbation of chronic obstructive pulmonary disease	modified_disease	20
99	6865	DISEASE	acute exacerbations of multiple sclerosis	acute exacerbations of multiple sclerosis	Multiple Sclerosis	modified_disease	25
100	6866	DISEASE	acute gastritis	acute gastritis	Acute Gastritis	modified_disease	11
101	6867	DISEASE	acute glomerulonephritis	acute glomerulonephritis	Acute Glomerulonephritis	modified_disease	18
102	6868	DISEASE	acute gouty arthritis	acute gouty arthritis	Arthritis, Gouty	modified_disease	18
103	6869	DISEASE	acute graft versus host disease	acute graft versus host disease	acute graft versus host disease	modified_disease	31
104	6870	DISEASE	acute heart failure	acute heart failure	Acute Heart Failure Related to COVID-19	modified_disease	23
105	6871	DISEASE	acute hematogenous osteomyelitis	acute hematogenous osteomyelitis	osteomyelitis	modified_disease	24
106	6872	DISEASE	acute hepatic porphyria	acute hepatic porphyria	hepatic porphyria	modified_disease	29
107	6873	DISEASE	acute herpes zoster	acute herpes zoster	Herpes Zoster	modified_disease	38
108	6874	DISEASE	acute hyperammonemia	acute hyperammonemia	Acute hyperammonemia	modified_disease	17
109	6875	DISEASE	acute hypotensive state	acute hypotensive state	hypotensive disorder	modified_disease	13
110	6876	DISEASE	acute infectious disease	acute infectious disease	infectious disease	modified_disease	25
111	6877	DISEASE	acute insomnia	acute insomnia	insomnia	modified_disease	18
112	6878	DISEASE	acute intermittent porphyria	acute intermittent porphyria	Porphyria, Acute Intermittent	modified_disease	33
113	6879	DISEASE	acute intestinal amebiasis	acute intestinal amebiasis	acute intestinal ischemia	modified_disease	16
114	6880	DISEASE	acute iron intoxication	acute iron intoxication	iron poisoning / iron intoxication	corrected_overlay	18
115	9507	DISEASE	acute ischemic stroke	acute ischemic stroke	Acute Ischemic Stroke	curated_standard_definition	28
116	6881	DISEASE	acute ischemic stroke (ais)	acute ischemic stroke (ais)	Ischemic Stroke	modified_disease	27
117	6882	DISEASE	acute kidney failure	acute kidney failure	Acute Kidney Injury	modified_disease	12
118	6883	DISEASE	acute labyrinthitis	acute labyrinthitis	labyrinthitis	modified_disease	18
119	6884	DISEASE	acute laryngopharyngitis	acute laryngopharyngitis	acute laryngopharyngitis	modified_disease	19
120	6885	DISEASE	acute left ventricular failure	acute left ventricular failure	left ventricular failure	modified_disease	29
121	6886	DISEASE	acute leukemia	acute leukemia	acute leukemia	modified_disease	23
122	6887	DISEASE	acute liver failure	acute liver failure	Liver Failure, Acute	modified_disease	29
123	6888	DISEASE	acute lung injury	acute lung injury	Acute Lung Injury	modified_disease	32
124	6889	DISEASE	acute lymphoblastic leukemia	acute lymphoblastic leukemia	Precursor Cell Lymphoblastic Leukemia-Lymphoma	modified_disease	27
125	6890	DISEASE	acute lymphocytic leukemia (all)	acute lymphocytic leukemia (all)	Leukemia	modified_disease	32
126	6891	DISEASE	acute mania	acute mania	acute manic episode	corrected_overlay	16
127	6892	DISEASE	acute manic or mixed episodes associated with bipolar i disorder	acute manic or mixed episodes associated with bipolar i disorder	bipolar I disorder	modified_disease	28
128	6893	DISEASE	acute massive pulmonary embolism	acute massive pulmonary embolism	pulmonary embolism	modified_disease	29
129	6894	DISEASE	acute maxillary sinusitis	acute maxillary sinusitis	acute maxillary sinusitis	modified_disease	12
130	6895	DISEASE	acute migraine	acute migraine	Migraine with Aura	modified_disease	26
131	6896	DISEASE	acute monocytic leukemia	acute monocytic leukemia	Leukemia, Monocytic, Acute	modified_disease	29
132	6897	DISEASE	acute myeloblastic leukemia without maturation	acute myeloblastic leukemia without maturation	acute myeloblastic leukemia without maturation	modified_disease	25
