row_index	source_line	entity_type	entity	norm_entity	standard_name	description_source	description_words
0	1	DRUG	(-)-nebivolol	(-)-nebivolol	(-)-Nebivolol	standard	22
1	2	DRUG	(2s,3r)-glycopyrronium bromide	(2s,3r)-glycopyrronium bromide	Pyrrolidinium, 3-(((2S)-cyclopentylhydroxyphenylacetyl)oxy)-1,1-dimethyl-, bromide, (3R)-	standard	30
2	3	DRUG	(r)-irinotecan hydrochloride trihydrate	(r)-irinotecan hydrochloride trihydrate	IRINOTECAN HYDROCHLORIDE	standard	4
3	8788	DRUG	(R)-methylmalonyl-CoA	(r)-methylmalonyl-coa	(R)-methylmalonyl-CoA	PubChem	30
4	8741	DRUG	(S)-acetoin	(s)-acetoin	(S)-acetoin	PubChem	4
5	8758	DRUG	(S)-Mandelic acid	(s)-mandelic acid	(S)-Mandelic acid	PubChem	27
6	6446	DRUG	0.5 ml respiratory syncytial virus pre-fusion f protein, a, recombinant, stabilized 0.12 mg/ml / respiratory syncytial virus pre-fusion f protein, b, recombinant, stabilized 0.12 mg/ml injection	0.5 ml respiratory syncytial virus pre-fusion f protein, a, recombinant, stabilized 0.12 mg/ml / respiratory syncytial virus pre-fusion f protein, b, recombinant, stabilized 0.12 mg/ml injection	RESPIRATORY SYNCYTIAL VIRUS PRE-FUSION GLYCOPROTEIN F; RESPIRATORY SYNCYTIAL VIRUS PRE-FUSION GLYCOPROTEIN F	modified_drug	48
7	6447	DRUG	1 ml hepatitis a vaccine (inactivated) strain hm175 720 unt/ml / hepatitis b surface antigen vaccine 0.02 mg/ml prefilled syringe	1 ml hepatitis a vaccine (inactivated) strain hm175 720 unt/ml / hepatitis b surface antigen vaccine 0.02 mg/ml prefilled syringe	Hepatitis A Vaccine; Hepatitis B Vaccine	NCI Thesaurus	90
8	8323	DRUG	1,2-Benzodiazepine	1,2-benzodiazepine	BENZODIAZEPINE	ChEMBL	19
9	8688	DRUG	1,2-Dichloro-Propane	1,2-dichloro-propane	1,2-Dichloro-Propane	PubChem	15
10	8814	DRUG	1-benzylimidazole	1-benzylimidazole	BENZYLIMIDAZOLE	ChEMBL	12
11	8311	DRUG	10-hydroxycamptothecin	10-hydroxycamptothecin	10-hydroxycamptothecin	PubChem	4
12	4	DRUG	16-fluoroestradiol	16-fluoroestradiol	16-Fluoroestradiol	standard	1
13	5	DRUG	177lu-psma-617	177lu-psma-617	LUTETIUM LU-177 VIPIVOTIDE TETRAXETAN	standard	5
14	8780	DRUG	2'-Deoxycytidine-5'-Monophosphate	2'-deoxycytidine-5'-monophosphate	2'-Deoxycytidine-5'-Monophosphate	PubChem	51
15	8728	DRUG	2,4,6-Tribromophenol	2,4,6-tribromophenol	2,4,6-Tribromophenol	PubChem	50
16	8074	DRUG	2-Aminophenol	2-aminophenol	2-aminophenol	ChEBI	15
17	8736	DRUG	2-Butanol	2-butanol	2-Butanol	PubChem	24
18	8209	DRUG	2-deoxyglucose	2-deoxyglucose	CHEMBL4303562	ChEMBL	12
19	8720	DRUG	2-Ethoxyethanol	2-ethoxyethanol	2-Ethoxyethanol	PubChem	22
20	8081	DRUG	2-Methoxyestradiol	2-methoxyestradiol	2-Methoxyestradiol	NCI Thesaurus	56
21	8742	DRUG	2-Methoxyethanol	2-methoxyethanol	2-Methoxyethanol	PubChem	22
22	6	DRUG	2-phenylbutyric acid	2-phenylbutyric acid	2-Phenylbutyric Acid	standard	45
23	7	DRUG	21s-argatroban	21s-argatroban	21s-argatroban	standard	1
