drug_name	disease_name	label	source
acarbose	maturity-onset diabetes of the young type 1	1	positive
acarbose	maturity-onset diabetes of the young type 2	1	positive
acarbose	maturity-onset diabetes of the young type 3	1	positive
acebutolol	autosomal dominant progressive nephropathy with hypertension	1	positive
acebutolol	obsolete hypertension, diastolic, resistance to	1	positive
acetaminophen	hereditary sensory and autonomic neuropathy type 1b	1	positive
acetaminophen	hyperthermia, cutaneous, with headaches and nausea	1	positive
acetaminophen	insensitivity to pain with hyperplastic myelinopathy	1	positive
acetaminophen	migraine with or without aura, susceptibility to, 1	1	positive
acetaminophen	osteoarthritis susceptibility 2	1	positive
acetazolamide	cholestasis, intrahepatic, of pregnancy, 1	1	positive
acetazolamide	convulsive disorder, familial, with prenatal or early onset	1	positive
acetazolamide	enteropathy, familial, with villous edema and immunoglobulin g2 deficiency	1	positive
acetazolamide	greenberg dysplasia	1	positive
acetazolamide	hyperphosphatemia, polyuria, and seizures	1	positive
acetohexamide	maturity-onset diabetes of the young type 2	1	positive
acetohexamide	maturity-onset diabetes of the young type 3	1	positive
acetohexamide	type 2 diabetes mellitus	1	positive
acetophenazine	schizophrenia	1	positive
acetylsalicylic acid	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	1	positive
acetylsalicylic acid	familial antiphospholipid syndrome	1	positive
acetylsalicylic acid	hyperthermia, cutaneous, with headaches and nausea	1	positive
acetylsalicylic acid	insensitivity to pain with hyperplastic myelinopathy	1	positive
acetylsalicylic acid	legg-calve-perthes disease	1	positive
acetylsalicylic acid	migraine with or without aura, susceptibility to, 1	1	positive
acetylsalicylic acid	obsolete susceptibility to ischemic stroke	1	positive
acetylsalicylic acid	osteoarthritis susceptibility 1	1	positive
acetylsalicylic acid	osteoarthritis susceptibility 2	1	positive
acetylsalicylic acid	osteoarthritis susceptibility 3	1	positive
acetylsalicylic acid	progressive pseudorheumatoid arthropathy of childhood	1	positive
acetylsalicylic acid	sensory ataxic neuropathy, dysarthria, and ophthalmoparesis	1	positive
acetylsalicylic acid	systemic lupus erythematosus	1	positive
acyclovir	ectodermal dysplasia-blindness syndrome	1	positive
adapalene	pyogenic arthritis-pyoderma gangrenosum-acne syndrome	1	positive
adenosine phosphate	wolff-parkinson-white syndrome	1	positive
alanine	d-bifunctional protein deficiency	1	positive
albuterol	asthma, nasal polyps, and aspirin intolerance	1	positive
albuterol	inherited susceptibility to asthma	1	positive
alclometasone	grubben-de cock-borghgraef syndrome	1	positive
alendronic acid	acroosteolysis dominant type	1	positive
alendronic acid	inclusion body myopathy with paget disease of bone and frontotemporal dementia type 1	1	positive
alendronic acid	legg-calve-perthes disease	1	positive
alendronic acid	paget disease of bone 2, early-onset	1	positive
alfuzosin	acanthosis nigricans-insulin resistance-muscle cramps-acral enlargement syndrome	1	positive
alfuzosin	insensitivity to pain with hyperplastic myelinopathy	1	positive
aliskiren	autosomal dominant progressive nephropathy with hypertension	1	positive
aliskiren	essential hypertension, genetic	1	positive
aliskiren	obsolete hypertension, diastolic, resistance to	1	positive
alitretinoin	kaposi sarcoma, susceptibility to	1	positive
allopurinol	leishmaniasis, tegumentary, susceptibility to	1	positive
allopurinol	nephrolithiasis, x-linked recessive, with renal failure	1	positive
alosetron	pelger-huet-like anomaly and episodic fever with abdominal pain	1	positive
alprazolam	panic disorder 1	1	positive
alprazolam	peripheral motor neuropathy-dysautonomia syndrome	1	positive
amantadine	autosomal dominant popliteal pterygium syndrome	1	positive
amantadine	multiple sclerosis, susceptibility to 1	1	positive
amifostine	mismatch repair cancer syndrome 1	1	positive
amiloride	autosomal dominant progressive nephropathy with hypertension	1	positive
amiloride	chylous ascites	1	positive
amiloride	greenberg dysplasia	1	positive
amiloride	obsolete hypertension, diastolic, resistance to	1	positive
aminoglutethimide	ectodermal dysplasia-blindness syndrome	1	positive
aminophylline	asthma, nasal polyps, and aspirin intolerance	1	positive
aminophylline	berry aneurysm, cirrhosis, pulmonary emphysema, and cerebral calcification	1	positive
aminophylline	inherited susceptibility to asthma	1	positive
amiodarone	ventricular arrhythmias due to cardiac ryanodine receptor calcium release deficiency syndrome	1	positive
amitriptyline	hyperhidrosis palmaris et plantaris	1	positive
amitriptyline	insensitivity to pain with hyperplastic myelinopathy	1	positive
amitriptyline	peripheral motor neuropathy-dysautonomia syndrome	1	positive
amlodipine	autosomal dominant progressive nephropathy with hypertension	1	positive
amlodipine	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	1	positive
amlodipine	coronary artery disease, autosomal dominant, 1	1	positive
amlodipine	essential hypertension, genetic	1	positive
