drug_name	disease_name	label	source
1,2-benzodiazepine	15q11q13 microduplication syndrome	1	positive
1,2-benzodiazepine	alcohol dependence	1	positive
1,2-benzodiazepine	anxiety	1	positive
1,2-benzodiazepine	autism	1	positive
1,2-benzodiazepine	autism, susceptibility to, 3	1	positive
1,2-benzodiazepine	autism, susceptibility to, 8	1	positive
1,2-benzodiazepine	autism, susceptibility to, x-linked 1	1	positive
1,2-benzodiazepine	autism, susceptibility to, x-linked 2	1	positive
1,2-benzodiazepine	autism, susceptibility to, x-linked 3	1	positive
1,2-benzodiazepine	dilated cardiomyopathy 1a	1	positive
1,2-benzodiazepine	intellectual developmental disorder with autism and speech delay	1	positive
1,2-benzodiazepine	major depressive disorder	1	positive
1,2-benzodiazepine	panic disorder 1	1	positive
1,2-benzodiazepine	schizophrenia	1	positive
1,2-benzodiazepine	schizophrenia 1	1	positive
1,2-benzodiazepine	schizophrenia 3	1	positive
1,2-benzodiazepine	schizophrenia 4	1	positive
1,2-benzodiazepine	schizophrenia 5	1	positive
1,2-benzodiazepine	schizophrenia 6	1	positive
1,2-benzodiazepine	schizophrenia 7	1	positive
1,2-benzodiazepine	schizophrenia 8	1	positive
1,2-benzodiazepine	schizophrenia 9	1	positive
10-hydroxycamptothecin	huntington disease	1	positive
2-aminophenol	hepatocellular carcinoma	1	positive
2-deoxyglucose	hereditary breast carcinoma	1	positive
2-deoxyglucose	lung cancer	1	positive
2-deoxyglucose	lung cancer susceptibility 1	1	positive
2-deoxyglucose	prostate cancer, hereditary	1	positive
2-methoxyestradiol	familial pancreatic carcinoma	1	positive
2-methoxyestradiol	hepatocellular carcinoma	1	positive
2-methoxyestradiol	hereditary breast carcinoma	1	positive
2-methoxyestradiol	pancreatic cancer, susceptibility to, 1	1	positive
2-methoxyestradiol	prostate cancer, hereditary	1	positive
2-methoxyestradiol	pulmonary hypertension, primary, 1	1	positive
3,3'-diindolylmethane	hereditary breast carcinoma	1	positive
3,4-dihydroxycinnamic acid	atherosclerosis susceptibility	1	positive
3,4-dihydroxycinnamic acid	myocardial infarction, susceptibility to	1	positive
3,4-dihydroxycinnamic acid	myocardial infarction, susceptibility to, 2	1	positive
3-methyladenine	cdh1-related diffuse gastric and lobular breast cancer syndrome	1	positive
5-methyltetrahydrofolic acid	classic homocystinuria	1	positive
5-methyltetrahydrofolic acid	neural tube defects, susceptibility to	1	positive
6-o-benzylguanine	glioma susceptibility 1	1	positive
6-o-benzylguanine	glioma susceptibility 4	1	positive
7-hydroxystaurosporine	hereditary breast carcinoma	1	positive
9cuab30	hereditary breast carcinoma	1	positive
abemaciclib	hereditary breast carcinoma	1	positive
abemaciclib	urinary bladder cancer	1	positive
abiraterone	prostate cancer, hereditary	1	positive
abt-510	prostate cancer, hereditary	1	positive
acadesine	leukemia, chronic lymphocytic, susceptibility to, 2	1	positive
acarbose	inherited obesity	1	positive
acarbose	maturity-onset diabetes of the young type 1	1	positive
acarbose	maturity-onset diabetes of the young type 2	1	positive
acarbose	maturity-onset diabetes of the young type 3	1	positive
acebutolol	anxiety	1	positive
acebutolol	autosomal dominant progressive nephropathy with hypertension	1	positive
acebutolol	obsolete hypertension, diastolic, resistance to	1	positive
acebutolol	ventricular arrhythmias due to cardiac ryanodine receptor calcium release deficiency syndrome	1	positive
acenocoumarol	ventricular arrhythmias due to cardiac ryanodine receptor calcium release deficiency syndrome	1	positive
acetaminophen	hepatocellular carcinoma	1	positive
acetaminophen	hereditary sensory and autonomic neuropathy type 1b	1	positive
acetaminophen	hyperthermia, cutaneous, with headaches and nausea	1	positive
acetaminophen	insensitivity to pain with hyperplastic myelinopathy	1	positive
acetaminophen	migraine with or without aura, susceptibility to, 1	1	positive
acetaminophen	myocardial infarction, susceptibility to	1	positive
acetaminophen	myocardial infarction, susceptibility to, 2	1	positive
acetaminophen	osteoarthritis susceptibility 1	1	positive
acetaminophen	osteoarthritis susceptibility 2	1	positive
acetaminophen	osteoarthritis susceptibility 3	1	positive
acetaminophen	stroke, susceptibility to, 1	1	positive
acetazolamide	batten-turner congenital myopathy	1	positive
acetazolamide	cholestasis, intrahepatic, of pregnancy, 1	1	positive
acetazolamide	chronic obstructive pulmonary disease	1	positive
acetazolamide	convulsive disorder, familial, with prenatal or early onset	1	positive
acetazolamide	enteropathy, familial, with villous edema and immunoglobulin g2 deficiency	1	positive
acetazolamide	epilepsy, idiopathic generalized, susceptibility to, 7	1	positive
acetazolamide	episodic ataxia type 2	1	positive
acetazolamide	greenberg dysplasia	1	positive
acetazolamide	hydrocephalus, nonsyndromic, autosomal recessive 1	1	positive
acetazolamide	hyperphosphatemia, polyuria, and seizures	1	positive
acetazolamide	juvenile myoclonic epilepsy	1	positive
acetazolamide	myoclonic epilepsy, juvenile, susceptibility to, 3	1	positive
acetazolamide	myotonia congenita, autosomal recessive	1	positive
acetazolamide	optn-related open angle glaucoma	1	positive
acetazolamide	paramyotonia congenita of von eulenburg	1	positive
acetazolamide	stroke, susceptibility to, 1	1	positive
acetohexamide	maturity-onset diabetes of the young type 2	1	positive
acetohexamide	maturity-onset diabetes of the young type 3	1	positive
acetohexamide	type 2 diabetes mellitus	1	positive
acetophenazine	anxiety	1	positive
acetophenazine	schizophrenia	1	positive
acetophenazine	schizophrenia 1	1	positive
acetophenazine	schizophrenia 3	1	positive
acetophenazine	schizophrenia 4	1	positive
acetophenazine	schizophrenia 5	1	positive
acetophenazine	schizophrenia 6	1	positive
acetophenazine	schizophrenia 7	1	positive
acetophenazine	schizophrenia 8	1	positive
acetophenazine	schizophrenia 9	1	positive
acetylcholine	alzheimer disease type 1	1	positive
acetylcysteine	esophageal cancer	1	positive
acetylcysteine	hepatocellular carcinoma	1	positive
acetylcysteine	inherited obesity	1	positive
acetylcysteine	myocardial infarction, susceptibility to	1	positive
acetylcysteine	myocardial infarction, susceptibility to, 2	1	positive
acetylcysteine	neural tube defects, susceptibility to	1	positive
acetylcysteine	schistosoma mansoni infection, susceptibility/resistance to	1	positive
acetylcysteine zinc	cystic fibrosis	1	positive
acetylcysteine zinc	esophageal cancer	1	positive
acetylcysteine zinc	hepatocellular carcinoma	1	positive
acetylcysteine zinc	inherited obesity	1	positive
acetylcysteine zinc	major depressive disorder	1	positive
acetylcysteine zinc	myocardial infarction, susceptibility to	1	positive
acetylcysteine zinc	myocardial infarction, susceptibility to, 2	1	positive
acetylcysteine zinc	neural tube defects, susceptibility to	1	positive
acetylcysteine zinc	schistosoma mansoni infection, susceptibility/resistance to	1	positive
acetylsalicylic acid	acquired polycythemia vera	1	positive
acetylsalicylic acid	atherosclerosis susceptibility	1	positive
acetylsalicylic acid	cdh1-related diffuse gastric and lobular breast cancer syndrome	1	positive
acetylsalicylic acid	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	1	positive
acetylsalicylic acid	colorectal cancer	1	positive
acetylsalicylic acid	colorectal cancer, susceptibility to, 1	1	positive
acetylsalicylic acid	coronary heart disease, susceptibility to, 2	1	positive
acetylsalicylic acid	coronary heart disease, susceptibility to, 3	1	positive
acetylsalicylic acid	coronary heart disease, susceptibility to, 4	1	positive
acetylsalicylic acid	coronary heart disease, susceptibility to, 5	1	positive
acetylsalicylic acid	familial antiphospholipid syndrome	1	positive
acetylsalicylic acid	familial pancreatic carcinoma	1	positive
acetylsalicylic acid	gastroesophageal reflux disease	1	positive
acetylsalicylic acid	hereditary breast carcinoma	1	positive
acetylsalicylic acid	hyperthermia, cutaneous, with headaches and nausea	1	positive
acetylsalicylic acid	insensitivity to pain with hyperplastic myelinopathy	1	positive
acetylsalicylic acid	juvenile idiopathic arthritis	1	positive
acetylsalicylic acid	legg-calve-perthes disease	1	positive
acetylsalicylic acid	migraine with or without aura, susceptibility to, 1	1	positive
acetylsalicylic acid	myocardial infarction, susceptibility to	1	positive
acetylsalicylic acid	myocardial infarction, susceptibility to, 2	1	positive
acetylsalicylic acid	obsolete susceptibility to ischemic stroke	1	positive
acetylsalicylic acid	osteoarthritis susceptibility 1	1	positive
acetylsalicylic acid	osteoarthritis susceptibility 2	1	positive
acetylsalicylic acid	osteoarthritis susceptibility 3	1	positive
acetylsalicylic acid	pancreatic cancer, susceptibility to, 1	1	positive
acetylsalicylic acid	primary erythermalgia	1	positive
acetylsalicylic acid	progressive pseudorheumatoid arthropathy of childhood	1	positive
