entity_type	entity	needs_review	description_source	description_words	empty_description
DISEASE	15q11q13 microduplication syndrome	0	MONDO	20	0
DISEASE	5q-syndrome	1	modified_disease	20	0
DISEASE	abdominal abscess	0	standard	22	0
DISEASE	abdominal aortic aneurysm	1	standard	33	0
DISEASE	abdominal colic	0	standard	22	0
DISEASE	abdominal infection	1	standard	21	0
DISEASE	abdominal pain	1	standard	10	0
DISEASE	abetalipoproteinemia	0	MONDO	38	0
DISEASE	abnormal bleeding	0	corrected_overlay	12	0
DISEASE	abnormal left ventricular function	1	standard	46	0
DISEASE	abnormal uterine bleeding	0	corrected_overlay	20	0
DISEASE	abnormality of acid-base homeostasis	0	standard	22	0
DISEASE	abnormality of extrapyramidal motor function	0	corrected_overlay	17	0
DISEASE	aborting pregnancy	0	corrected_overlay	11	0
DISEASE	abri amyloidosis	0	MONDO	43	0
DISEASE	abscess	1	standard	16	0
DISEASE	absence epilepsy	1	standard	84	0
DISEASE	absssi	0	corrected_overlay	21	0
DISEASE	academic research council subacute stent thrombosis	0	standard	44	0
DISEASE	acanthamoeba keratitis	1	standard	16	0
DISEASE	accommodative esotropia	1	standard	43	0
DISEASE	aceruloplasminemia	0	MONDO	20	0
DISEASE	acetaminophen overdose	1	standard	11	0
DISEASE	acheiropody	0	MONDO	83	0
DISEASE	achondroplasia	1	standard	55	0
DISEASE	acid sphingomyelinase deficiency	1	standard	56	0
DISEASE	acid sphingomyelinase deficiency (asmd)	0	alias_disease	21	0
DISEASE	acidosis	1	standard	29	0
DISEASE	acinetobacter	1	standard	18	0
DISEASE	acinetobacter infectious disease	1	standard	7	0
DISEASE	acne	1	standard	38	0
DISEASE	acne inversa	1	standard	60	0
DISEASE	acne rosacea	1	standard	72	0
DISEASE	acne urticata	1	standard	19	0
DISEASE	acne vulgaris	1	standard	38	0
DISEASE	acohol withdrawal	0	corrected_overlay	16	0
DISEASE	acquired aplastic anemia	0	standard	14	0
DISEASE	acquired cdi	0	standard	30	0
DISEASE	acquired factor xiii deficiency	1	standard	13	0
DISEASE	acquired hemophilia	1	standard	80	0
DISEASE	acquired hemophilia a	0	standard	41	0
DISEASE	acquired immune deficiency syndrome (aids)	1	alias_disease	84	0
DISEASE	acquired immunodeficiency	0	standard	89	0
DISEASE	acquired methemoglobinemia	1	standard	12	0
DISEASE	acquired polycythemia vera	0	standard	34	0
DISEASE	acquired prothrombin deficiency	0	standard	14	0
DISEASE	acquired testicular failure	1	standard	11	0
DISEASE	acquired thrombocytopenia	0	standard	13	0
DISEASE	acquired thrombotic thrombocytopenic purpura	1	standard	31	0
DISEASE	acral peeling skin syndrome	0	MONDO	26	0
DISEASE	acrocallosal syndrome	0	MONDO	24	0
DISEASE	acrodermatitis enteropathica	1	MedGen	80	0
DISEASE	acrokeratosis verruciformis	1	MedGen	24	0
DISEASE	acromegaloid changes, cutis verticis gyrata, and corneal leukoma	1	MONDO	35	0
DISEASE	acromegaly	1	standard	47	0
DISEASE	acroosteolysis	0	MONDO	11	0
DISEASE	acroosteolysis dominant type	0	MONDO	73	0
DISEASE	actinic keratosis	1	standard	32	0
DISEASE	actinomycosis	1	standard	7	0
DISEASE	activated pi3k-delta syndrome	1	standard	37	0
DISEASE	active duodenal ulcer	0	corrected_overlay	25	0
DISEASE	active enthesitis-related arthritis	1	standard	148	0
DISEASE	active lupus nephritis	1	standard	8	0
DISEASE	active psoriatic arthritis	0	corrected_overlay	23	0
DISEASE	active rheumatoid arthritis	1	standard	41	0
DISEASE	active secondary progressive multiple sclerosis	1	modified_disease	24	0
DISEASE	active tuberculosis	1	standard	32	0
DISEASE	acute and chronic pain	1	modified_disease	18	0
DISEASE	acute and chronic respiratory tract infections	0	corrected_overlay	23	0
DISEASE	acute angle-closure glaucoma	1	modified_disease	12	0
DISEASE	acute asthma	1	modified_disease	36	0
DISEASE	acute asthma attack	1	modified_disease	37	0
DISEASE	acute attacks of hereditary angioedema (hae) due to c1 esterase inhibitor deficiency	1	modified_disease	25	0
DISEASE	acute bacterial exacerbation of chronic bronchitis	1	modified_disease	41	0
DISEASE	acute bacterial otitis media	1	modified_disease	14	0
DISEASE	acute bacterial simple cystitis	1	modified_disease	14	0
DISEASE	acute bacterial sinusitis	0	manual_final7_review	35	0
DISEASE	acute bacterial skin and skin structure infection	1	modified_disease	13	0
DISEASE	acute bronchial asthma	1	modified_disease	37	0
DISEASE	acute bronchitis	1	modified_disease	15	0
DISEASE	acute bronchospasm	1	modified_disease	34	0
DISEASE	acute bursitis	1	modified_disease	30	0
DISEASE	acute cardiac ischemic events	0	manual_final7_review	27	0
DISEASE	acute chest syndrome	1	modified_disease	40	0
DISEASE	acute cholecystitis	1	modified_disease	12	0
DISEASE	acute closed-angle glaucoma	1	modified_disease	12	0
DISEASE	acute coccidioidomycosis	1	modified_disease	20	0
DISEASE	acute congestive heart failure	1	modified_disease	30	0
DISEASE	acute coronary syndrome	1	modified_disease	28	0
DISEASE	acute cystitis	1	modified_disease	12	0
DISEASE	acute decompensated heart failure	1	modified_disease	30	0
DISEASE	acute diarrhea	1	modified_disease	10	0
DISEASE	acute disseminated candidiasis	1	modified_disease	38	0
DISEASE	acute duodenal ulcer with hemorrhage	1	modified_disease	17	0
DISEASE	acute enterocolitis	1	modified_disease	35	0
DISEASE	acute erythroid leukemia	1	modified_disease	18	0
DISEASE	acute evolving transmural myocardial infarction	1	modified_disease	25	0
DISEASE	acute exacerbation of chronic bronchitis	1	modified_disease	40	0
DISEASE	acute exacerbation of chronic obstructive pulmonary disease	1	modified_disease	20	0
DISEASE	acute exacerbations of multiple sclerosis	1	modified_disease	25	0
DISEASE	acute gastritis	1	modified_disease	11	0
DISEASE	acute glomerulonephritis	1	modified_disease	18	0
DISEASE	acute gouty arthritis	1	modified_disease	18	0
DISEASE	acute graft versus host disease	1	modified_disease	31	0
DISEASE	acute heart failure	1	modified_disease	23	0
DISEASE	acute hematogenous osteomyelitis	1	modified_disease	24	0
DISEASE	acute hepatic porphyria	1	modified_disease	29	0
DISEASE	acute herpes zoster	1	modified_disease	38	0
DISEASE	acute hyperammonemia	1	modified_disease	17	0
DISEASE	acute hypotensive state	1	modified_disease	13	0
DISEASE	acute infectious disease	1	modified_disease	25	0
DISEASE	acute insomnia	1	modified_disease	18	0
DISEASE	acute intermittent porphyria	1	modified_disease	33	0
DISEASE	acute intestinal amebiasis	1	modified_disease	16	0
DISEASE	acute iron intoxication	0	corrected_overlay	18	0
DISEASE	acute ischemic stroke	1	curated_standard_definition	28	0
DISEASE	acute ischemic stroke (ais)	1	modified_disease	27	0
DISEASE	acute kidney failure	1	modified_disease	12	0
DISEASE	acute labyrinthitis	1	modified_disease	18	0
DISEASE	acute laryngopharyngitis	1	modified_disease	19	0
DISEASE	acute left ventricular failure	1	modified_disease	29	0
DISEASE	acute leukemia	1	modified_disease	23	0
DISEASE	acute liver failure	1	modified_disease	29	0
DISEASE	acute lung injury	1	modified_disease	32	0
DISEASE	acute lymphoblastic leukemia	1	modified_disease	27	0
DISEASE	acute lymphocytic leukemia (all)	1	modified_disease	32	0
DISEASE	acute mania	0	corrected_overlay	16	0
DISEASE	acute manic or mixed episodes associated with bipolar i disorder	1	modified_disease	28	0
DISEASE	acute massive pulmonary embolism	1	modified_disease	29	0
DISEASE	acute maxillary sinusitis	1	modified_disease	12	0
DISEASE	acute migraine	1	modified_disease	26	0
DISEASE	acute monocytic leukemia	1	modified_disease	29	0
DISEASE	acute myeloblastic leukemia without maturation	1	modified_disease	25	0
DISEASE	acute myeloid leukemia	1	modified_disease	19	0
DISEASE	acute myeloid leukemia (aml)	1	modified_disease	20	0
DISEASE	acute myeloid leukemia with multilineage dysplasia	1	modified_disease	24	0
DISEASE	acute myelomonocytic leukemia m4	1	modified_disease	21	0
DISEASE	acute myocardial infarction	1	modified_disease	23	0
DISEASE	acute necrotizing ulcerative gingivitis	1	modified_disease	36	0
